Sample Name, Sample-6
Time, January 27 22:53:07 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.0258, 94.24
401.0, 0.0249, 94.42
402.0, 0.0251, 94.38
403.0, 0.0246, 94.50
404.0, 0.0246, 94.48
405.0, 0.0244, 94.54
406.0, 0.0242, 94.58
407.0, 0.0240, 94.62
408.0, 0.0240, 94.62
409.0, 0.0235, 94.72
410.0, 0.0234, 94.75
411.0, 0.0234, 94.76
412.0, 0.0232, 94.80
413.0, 0.0232, 94.80
414.0, 0.0228, 94.89
415.0, 0.0228, 94.87
416.0, 0.0227, 94.90
417.0, 0.0226, 94.92
418.0, 0.0227, 94.92
419.0, 0.0224, 94.97
420.0, 0.0222, 95.01
421.0, 0.0223, 94.99
422.0, 0.0218, 95.10
423.0, 0.0216, 95.15
424.0, 0.0216, 95.15
425.0, 0.0214, 95.19
426.0, 0.0215, 95.16
427.0, 0.0217, 95.14
428.0, 0.0212, 95.24
429.0, 0.0214, 95.20
430.0, 0.0210, 95.28
431.0, 0.0212, 95.24
432.0, 0.0212, 95.24
433.0, 0.0211, 95.25
434.0, 0.0210, 95.27
435.0, 0.0208, 95.32
436.0, 0.0208, 95.32
437.0, 0.0211, 95.27
438.0, 0.0212, 95.23
439.0, 0.0207, 95.35
440.0, 0.0206, 95.37
441.0, 0.0208, 95.32
442.0, 0.0207, 95.34
443.0, 0.0210, 95.28
444.0, 0.0214, 95.19
445.0, 0.0208, 95.33
446.0, 0.0212, 95.23
447.0, 0.0207, 95.34
448.0, 0.0210, 95.29
449.0, 0.0209, 95.30
450.0, 0.0205, 95.39
451.0, 0.0189, 95.73
452.0, 0.0189, 95.75
453.0, 0.0186, 95.80
454.0, 0.0189, 95.75
455.0, 0.0189, 95.73
456.0, 0.0185, 95.84
457.0, 0.0192, 95.69
458.0, 0.0182, 95.90
459.0, 0.0182, 95.89
460.0, 0.0185, 95.84
461.0, 0.0182, 95.89
462.0, 0.0182, 95.89
463.0, 0.0185, 95.83
464.0, 0.0182, 95.89
465.0, 0.0183, 95.87
466.0, 0.0190, 95.72
467.0, 0.0181, 95.91
468.0, 0.0178, 95.99
469.0, 0.0177, 96.00
470.0, 0.0177, 96.02
471.0, 0.0180, 95.95
472.0, 0.0177, 96.00
473.0, 0.0172, 96.11
474.0, 0.0175, 96.05
475.0, 0.0176, 96.03
476.0, 0.0175, 96.04
477.0, 0.0176, 96.03
478.0, 0.0173, 96.09
479.0, 0.0172, 96.11
480.0, 0.0172, 96.11
481.0, 0.0168, 96.20
482.0, 0.0173, 96.10
483.0, 0.0177, 96.00
484.0, 0.0176, 96.04
485.0, 0.0171, 96.13
486.0, 0.0178, 95.99
487.0, 0.0173, 96.09
488.0, 0.0171, 96.13
489.0, 0.0175, 96.04
490.0, 0.0172, 96.13
491.0, 0.0168, 96.21
492.0, 0.0172, 96.12
493.0, 0.0172, 96.12
494.0, 0.0174, 96.06
495.0, 0.0177, 96.01
496.0, 0.0178, 95.98
497.0, 0.0175, 96.06
498.0, 0.0172, 96.11
499.0, 0.0174, 96.08
500.0, 0.0176, 96.03
501.0, 0.0174, 96.07
502.0, 0.0173, 96.10
503.0, 0.0172, 96.12
504.0, 0.0172, 96.12
505.0, 0.0175, 96.05
506.0, 0.0174, 96.07
507.0, 0.0168, 96.20
508.0, 0.0174, 96.07
509.0, 0.0176, 96.04
510.0, 0.0176, 96.04
511.0, 0.0174, 96.08
512.0, 0.0178, 95.98
513.0, 0.0176, 96.03
514.0, 0.0169, 96.19
515.0, 0.0170, 96.15
516.0, 0.0175, 96.05
