Sample Name, Sample-3
Time, January 27 22:09:40 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 4.5297, 0.00
301.0, 4.5302, 0.00
302.0, 4.5293, 0.00
303.0, 4.5289, 0.00
304.0, 4.5285, 0.00
305.0, 4.5271, 0.00
306.0, 4.5262, 0.00
307.0, 4.5248, 0.00
308.0, 4.5234, 0.00
309.0, 4.5216, 0.00
310.0, 4.5184, 0.00
311.0, 4.5154, 0.00
312.0, 4.5128, 0.00
313.0, 4.5094, 0.00
314.0, 4.5063, 0.00
315.0, 4.5030, 0.00
316.0, 4.4993, 0.00
317.0, 4.4954, 0.00
318.0, 4.4911, 0.00
319.0, 4.4876, 0.00
320.0, 4.4846, 0.00
321.0, 4.4795, 0.00
322.0, 4.4747, 0.00
323.0, 4.4704, 0.00
324.0, 4.4657, 0.00
325.0, 4.4615, 0.00
326.0, 4.4571, 0.00
327.0, 4.4521, 0.00
328.0, 3.4369, 0.04
329.0, 2.8481, 0.14
330.0, 2.6014, 0.25
331.0, 2.4469, 0.36
332.0, 2.2791, 0.53
333.0, 2.1513, 0.71
334.0, 2.0499, 0.89
335.0, 1.9361, 1.16
336.0, 1.8281, 1.49
337.0, 1.7557, 1.76
338.0, 1.6957, 2.01
339.0, 1.6596, 2.19
340.0, 1.5831, 2.61
341.0, 1.5440, 2.86
342.0, 1.4716, 3.38
343.0, 1.4018, 3.96
344.0, 1.3489, 4.48
345.0, 1.3075, 4.93
346.0, 1.2653, 5.43
347.0, 1.2140, 6.11
348.0, 1.1686, 6.78
349.0, 1.1420, 7.21
350.0, 1.1002, 7.94
351.0, 1.0628, 8.65
352.0, 1.0359, 9.21
353.0, 1.0022, 9.95
354.0, 0.9711, 10.69
355.0, 0.9461, 11.32
356.0, 0.9201, 12.02
357.0, 0.8953, 12.73
358.0, 0.8735, 13.38
359.0, 0.8493, 14.15
360.0, 0.8276, 14.87
361.0, 0.8095, 15.51
362.0, 0.7899, 16.22
363.0, 0.7716, 16.92
364.0, 0.7541, 17.61
365.0, 0.7371, 18.32
366.0, 0.7214, 18.99
367.0, 0.7076, 19.61
368.0, 0.6944, 20.21
369.0, 0.6824, 20.78
370.0, 0.6730, 21.23
371.0, 0.6501, 22.38
372.0, 0.6396, 22.93
373.0, 0.6275, 23.58
374.0, 0.6176, 24.12
375.0, 0.6068, 24.73
376.0, 0.5981, 25.23
377.0, 0.5884, 25.80
378.0, 0.5804, 26.28
379.0, 0.5727, 26.75
380.0, 0.5619, 27.42
381.0, 0.5543, 27.91
382.0, 0.5483, 28.30
383.0, 0.5415, 28.74
384.0, 0.5352, 29.16
385.0, 0.5296, 29.54
386.0, 0.5234, 29.96
387.0, 0.5179, 30.35
388.0, 0.5124, 30.73
389.0, 0.5079, 31.05
390.0, 0.5024, 31.45
391.0, 0.4977, 31.79
392.0, 0.4935, 32.10
393.0, 0.4892, 32.42
394.0, 0.4853, 32.71
395.0, 0.4810, 33.03
396.0, 0.4774, 33.31
397.0, 0.4739, 33.58
398.0, 0.4698, 33.90
399.0, 0.4675, 34.08
400.0, 0.4641, 34.35
401.0, 0.4606, 34.63
402.0, 0.4576, 34.87
403.0, 0.4553, 35.05
404.0, 0.4524, 35.29
405.0, 0.4495, 35.52
