Sample Name, Sample-10
Time, January 27 23:12:30 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.5483, 28.29
401.0, 0.5413, 28.76
402.0, 0.5353, 29.15
403.0, 0.5287, 29.60
404.0, 0.5215, 30.09
405.0, 0.5168, 30.43
406.0, 0.5104, 30.88
407.0, 0.5043, 31.31
408.0, 0.4987, 31.72
409.0, 0.4932, 32.12
410.0, 0.4880, 32.51
411.0, 0.4825, 32.93
412.0, 0.4773, 33.32
413.0, 0.4721, 33.72
414.0, 0.4673, 34.09
415.0, 0.4627, 34.46
416.0, 0.4582, 34.82
417.0, 0.4533, 35.21
418.0, 0.4489, 35.57
419.0, 0.4450, 35.89
420.0, 0.4409, 36.23
421.0, 0.4367, 36.59
422.0, 0.4334, 36.87
423.0, 0.4297, 37.18
424.0, 0.4262, 37.48
425.0, 0.4227, 37.78
426.0, 0.4192, 38.09
427.0, 0.4162, 38.35
428.0, 0.4131, 38.63
429.0, 0.4099, 38.91
430.0, 0.4079, 39.10
431.0, 0.4051, 39.35
432.0, 0.4030, 39.54
433.0, 0.4011, 39.71
434.0, 0.3997, 39.84
435.0, 0.3979, 40.00
436.0, 0.3959, 40.18
437.0, 0.3943, 40.34
438.0, 0.3922, 40.54
439.0, 0.3904, 40.70
440.0, 0.3892, 40.81
441.0, 0.3876, 40.96
442.0, 0.3859, 41.12
443.0, 0.3844, 41.26
444.0, 0.3836, 41.34
445.0, 0.3824, 41.45
446.0, 0.3814, 41.55
447.0, 0.3807, 41.62
448.0, 0.3788, 41.80
449.0, 0.3771, 41.97
450.0, 0.3751, 42.16
451.0, 0.3730, 42.37
452.0, 0.3726, 42.40
453.0, 0.3718, 42.48
454.0, 0.3704, 42.61
455.0, 0.3706, 42.60
456.0, 0.3702, 42.64
457.0, 0.3700, 42.66
458.0, 0.3695, 42.71
459.0, 0.3687, 42.78
460.0, 0.3684, 42.81
461.0, 0.3678, 42.87
462.0, 0.3680, 42.85
463.0, 0.3675, 42.90
464.0, 0.3672, 42.93
465.0, 0.3678, 42.88
466.0, 0.3673, 42.92
467.0, 0.3672, 42.94
468.0, 0.3677, 42.88
469.0, 0.3685, 42.80
470.0, 0.3686, 42.80
471.0, 0.3688, 42.77
472.0, 0.3688, 42.78
473.0, 0.3680, 42.85
474.0, 0.3674, 42.91
475.0, 0.3675, 42.91
476.0, 0.3672, 42.93
477.0, 0.3670, 42.95
478.0, 0.3672, 42.93
479.0, 0.3674, 42.91
480.0, 0.3677, 42.89
481.0, 0.3680, 42.85
482.0, 0.3678, 42.88
483.0, 0.3682, 42.83
484.0, 0.3680, 42.85
485.0, 0.3680, 42.86
486.0, 0.3681, 42.84
487.0, 0.3686, 42.80
488.0, 0.3685, 42.81
489.0, 0.3683, 42.82
490.0, 0.3688, 42.78
491.0, 0.3693, 42.73
492.0, 0.3705, 42.61
493.0, 0.3702, 42.64
494.0, 0.3706, 42.60
495.0, 0.3699, 42.66
496.0, 0.3702, 42.64
497.0, 0.3701, 42.64
498.0, 0.3701, 42.65
499.0, 0.3701, 42.65
500.0, 0.3704, 42.61
501.0, 0.3707, 42.59
502.0, 0.3705, 42.61
503.0, 0.3711, 42.55
504.0, 0.3711, 42.55
505.0, 0.3717, 42.49
506.0, 0.3718, 42.48
507.0, 0.3725, 42.41
508.0, 0.3725, 42.41
509.0, 0.3728, 42.39
510.0, 0.3731, 42.35
511.0, 0.3734, 42.33
512.0, 0.3735, 42.32
513.0, 0.3739, 42.27
514.0, 0.3744, 42.23
515.0, 0.3753, 42.14
516.0, 0.3757, 42.11
517.0, 0.3767, 42.00
518.0, 0.3762, 42.05
519.0, 0.3759, 42.08
520.0, 0.3761, 42.06
521.0, 0.3763, 42.05
522.0, 0.3769, 41.98
523.0, 0.3771, 41.97
524.0, 0.3777, 41.91
525.0, 0.3781, 41.87
526.0, 0.3791, 41.77
527.0, 0.3787, 41.82
528.0, 0.3797, 41.72
529.0, 0.3803, 41.66
