Sample Name, Sample-5
Time, January 27 22:48:25 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.4802, 33.10
401.0, 0.4760, 33.42
402.0, 0.4732, 33.64
403.0, 0.4695, 33.92
404.0, 0.4676, 34.07
405.0, 0.4644, 34.32
406.0, 0.4614, 34.56
407.0, 0.4584, 34.80
408.0, 0.4565, 34.95
409.0, 0.4538, 35.17
410.0, 0.4509, 35.41
411.0, 0.4491, 35.55
412.0, 0.4474, 35.70
413.0, 0.4450, 35.89
414.0, 0.4429, 36.07
415.0, 0.4419, 36.15
416.0, 0.4397, 36.34
417.0, 0.4377, 36.50
418.0, 0.4366, 36.59
419.0, 0.4354, 36.70
420.0, 0.4336, 36.85
421.0, 0.4324, 36.95
422.0, 0.4309, 37.07
423.0, 0.4296, 37.19
424.0, 0.4290, 37.24
425.0, 0.4282, 37.31
426.0, 0.4272, 37.39
427.0, 0.4268, 37.43
428.0, 0.4261, 37.49
429.0, 0.4253, 37.56
430.0, 0.4246, 37.62
431.0, 0.4240, 37.67
432.0, 0.4239, 37.68
433.0, 0.4236, 37.71
434.0, 0.4234, 37.72
435.0, 0.4234, 37.72
436.0, 0.4232, 37.74
437.0, 0.4230, 37.75
438.0, 0.4231, 37.75
439.0, 0.4232, 37.74
440.0, 0.4235, 37.71
441.0, 0.4236, 37.71
442.0, 0.4247, 37.61
443.0, 0.4249, 37.59
444.0, 0.4259, 37.51
445.0, 0.4260, 37.50
446.0, 0.4265, 37.45
447.0, 0.4267, 37.44
448.0, 0.4281, 37.32
449.0, 0.4287, 37.26
450.0, 0.4284, 37.29
451.0, 0.4287, 37.27
452.0, 0.4289, 37.25
453.0, 0.4287, 37.26
454.0, 0.4309, 37.07
455.0, 0.4315, 37.03
456.0, 0.4318, 37.00
457.0, 0.4336, 36.85
458.0, 0.4343, 36.79
459.0, 0.4346, 36.76
460.0, 0.4360, 36.65
461.0, 0.4373, 36.54
462.0, 0.4384, 36.44
463.0, 0.4398, 36.32
464.0, 0.4406, 36.26
465.0, 0.4418, 36.16
466.0, 0.4433, 36.04
467.0, 0.4431, 36.05
468.0, 0.4443, 35.95
469.0, 0.4466, 35.76
470.0, 0.4474, 35.70
471.0, 0.4494, 35.53
472.0, 0.4503, 35.46
473.0, 0.4508, 35.42
474.0, 0.4522, 35.30
475.0, 0.4537, 35.18
476.0, 0.4547, 35.10
477.0, 0.4561, 34.99
478.0, 0.4583, 34.81
479.0, 0.4600, 34.68
480.0, 0.4612, 34.58
481.0, 0.4623, 34.49
482.0, 0.4643, 34.33
483.0, 0.4658, 34.21
484.0, 0.4672, 34.10
485.0, 0.4686, 33.99
486.0, 0.4706, 33.84
487.0, 0.4719, 33.74
