Sample Name, Sample-1
Time, January 27 21:51:47 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.6372, 2.31
301.0, 1.5926, 2.55
302.0, 1.5483, 2.83
303.0, 1.5078, 3.11
304.0, 1.4610, 3.46
305.0, 1.4170, 3.83
306.0, 1.3755, 4.21
307.0, 1.3367, 4.61
308.0, 1.3040, 4.97
309.0, 1.2614, 5.48
310.0, 1.2180, 6.05
311.0, 1.1759, 6.67
312.0, 1.1358, 7.32
313.0, 1.0988, 7.96
314.0, 1.0658, 8.59
315.0, 1.0267, 9.40
316.0, 0.9879, 10.28
317.0, 0.9496, 11.23
318.0, 0.9202, 12.02
319.0, 0.8820, 13.12
320.0, 0.8476, 14.21
321.0, 0.8146, 15.32
322.0, 0.7851, 16.40
323.0, 0.7538, 17.63
324.0, 0.7236, 18.90
325.0, 0.6987, 20.01
326.0, 0.6701, 21.37
327.0, 0.6418, 22.81
328.0, 0.6187, 24.06
329.0, 0.5922, 25.57
330.0, 0.5687, 26.99
331.0, 0.5469, 28.39
332.0, 0.5253, 29.83
333.0, 0.5049, 31.27
334.0, 0.4847, 32.76
335.0, 0.4671, 34.11
336.0, 0.4480, 35.64
337.0, 0.4303, 37.13
338.0, 0.4171, 38.27
339.0, 0.4022, 39.61
340.0, 0.3862, 41.09
341.0, 0.3716, 42.50
342.0, 0.3586, 43.79
343.0, 0.3459, 45.09
344.0, 0.3343, 46.31
345.0, 0.3231, 47.52
346.0, 0.3124, 48.71
347.0, 0.3024, 49.84
348.0, 0.2926, 50.98
349.0, 0.2842, 51.98
350.0, 0.2750, 53.09
351.0, 0.2666, 54.13
352.0, 0.2588, 55.10
353.0, 0.2515, 56.04
354.0, 0.2443, 56.98
355.0, 0.2374, 57.89
356.0, 0.2306, 58.81
357.0, 0.2247, 59.60
358.0, 0.2185, 60.46
359.0, 0.2136, 61.15
360.0, 0.2078, 61.98
361.0, 0.2027, 62.71
362.0, 0.1982, 63.36
363.0, 0.1932, 64.09
364.0, 0.1889, 64.73
365.0, 0.1849, 65.32
366.0, 0.1813, 65.87
367.0, 0.1769, 66.55
368.0, 0.1741, 66.98
369.0, 0.1705, 67.53
370.0, 0.1679, 67.94
371.0, 0.1628, 68.73
372.0, 0.1599, 69.19
373.0, 0.1568, 69.69
374.0, 0.1542, 70.12
