Sample Name, Sample-9
Time, January 27 23:08:41 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.4028, 39.55
401.0, 0.3979, 40.01
402.0, 0.3933, 40.43
403.0, 0.3898, 40.76
404.0, 0.3856, 41.15
405.0, 0.3822, 41.48
406.0, 0.3780, 41.88
407.0, 0.3739, 42.27
408.0, 0.3706, 42.60
409.0, 0.3668, 42.97
410.0, 0.3640, 43.25
411.0, 0.3601, 43.64
412.0, 0.3569, 43.96
413.0, 0.3535, 44.31
414.0, 0.3501, 44.66
415.0, 0.3474, 44.94
416.0, 0.3440, 45.29
417.0, 0.3410, 45.61
418.0, 0.3381, 45.91
419.0, 0.3355, 46.18
420.0, 0.3329, 46.47
421.0, 0.3302, 46.75
422.0, 0.3278, 47.01
423.0, 0.3252, 47.29
424.0, 0.3231, 47.53
425.0, 0.3209, 47.76
426.0, 0.3187, 48.00
427.0, 0.3165, 48.25
428.0, 0.3146, 48.46
429.0, 0.3124, 48.70
430.0, 0.3111, 48.86
431.0, 0.3092, 49.07
432.0, 0.3078, 49.22
433.0, 0.3070, 49.32
434.0, 0.3065, 49.37
435.0, 0.3048, 49.56
436.0, 0.3035, 49.72
437.0, 0.3025, 49.84
438.0, 0.3012, 49.98
439.0, 0.2997, 50.15
440.0, 0.2988, 50.26
441.0, 0.2975, 50.40
442.0, 0.2969, 50.48
443.0, 0.2959, 50.59
444.0, 0.2947, 50.73
445.0, 0.2945, 50.75
446.0, 0.2936, 50.86
447.0, 0.2928, 50.96
448.0, 0.2924, 51.00
449.0, 0.2914, 51.12
450.0, 0.2907, 51.20
451.0, 0.2900, 51.29
452.0, 0.2895, 51.34
453.0, 0.2890, 51.41
454.0, 0.2890, 51.40
455.0, 0.2897, 51.32
456.0, 0.2894, 51.35
457.0, 0.2893, 51.36
458.0, 0.2892, 51.38
459.0, 0.2893, 51.37
460.0, 0.2891, 51.39
461.0, 0.2894, 51.36
462.0, 0.2892, 51.38
463.0, 0.2895, 51.34
464.0, 0.2897, 51.33
465.0, 0.2899, 51.30
466.0, 0.2897, 51.33
467.0, 0.2900, 51.29
468.0, 0.2902, 51.27
469.0, 0.2909, 51.18
470.0, 0.2908, 51.20
471.0, 0.2908, 51.19
472.0, 0.2912, 51.14
473.0, 0.2916, 51.10
474.0, 0.2913, 51.13
475.0, 0.2917, 51.09
476.0, 0.2917, 51.09
477.0, 0.2916, 51.09
478.0, 0.2911, 51.15
479.0, 0.2912, 51.15
480.0, 0.2911, 51.16
481.0, 0.2913, 51.13
482.0, 0.2907, 51.21
483.0, 0.2903, 51.25
484.0, 0.2901, 51.27
485.0, 0.2905, 51.23
486.0, 0.2910, 51.17
487.0, 0.2913, 51.14
488.0, 0.2912, 51.15
489.0, 0.2915, 51.11
490.0, 0.2918, 51.07
491.0, 0.2927, 50.97
492.0, 0.2931, 50.92
493.0, 0.2938, 50.84
494.0, 0.2944, 50.77
495.0, 0.2948, 50.73
496.0, 0.2956, 50.63
497.0, 0.2960, 50.59
498.0, 0.2968, 50.49
499.0, 0.2966, 50.51
500.0, 0.2975, 50.41
501.0, 0.2982, 50.33
502.0, 0.2987, 50.27
503.0, 0.2988, 50.26
504.0, 0.2989, 50.25
505.0, 0.2998, 50.15
506.0, 0.3002, 50.09
507.0, 0.3006, 50.05
508.0, 0.3009, 50.02
509.0, 0.3005, 50.06
510.0, 0.3012, 49.98
511.0, 0.3015, 49.94
512.0, 0.3021, 49.88
513.0, 0.3028, 49.79
514.0, 0.3027, 49.81
515.0, 0.3031, 49.76
516.0, 0.3030, 49.77
517.0, 0.3041, 49.64
518.0, 0.3040, 49.66
519.0, 0.3043, 49.63
520.0, 0.3043, 49.63
521.0, 0.3045, 49.60
522.0, 0.3059, 49.45
523.0, 0.3066, 49.36
524.0, 0.3069, 49.33
525.0, 0.3071, 49.31
526.0, 0.3079, 49.21
527.0, 0.3084, 49.16
528.0, 0.3088, 49.11
529.0, 0.3092, 49.06
530.0, 0.3097, 49.01
531.0, 0.3107, 48.90
532.0, 0.3109, 48.88
533.0, 0.3116, 48.80
534.0, 0.3121, 48.74
535.0, 0.3132, 48.62
536.0, 0.3139, 48.54
537.0, 0.3141, 48.51
538.0, 0.3153, 48.38
539.0, 0.3154, 48.37
540.0, 0.3163, 48.27
541.0, 0.3171, 48.18
542.0, 0.3180, 48.08
543.0, 0.3188, 48.00
544.0, 0.3194, 47.93
545.0, 0.3202, 47.84
546.0, 0.3211, 47.74
547.0, 0.3216, 47.69
548.0, 0.3227, 47.57
549.0, 0.3234, 47.49
550.0, 0.3246, 47.36
551.0, 0.3252, 47.29
552.0, 0.3266, 47.14
553.0, 0.3273, 47.06
554.0, 0.3282, 46.97
555.0, 0.3295, 46.83
556.0, 0.3300, 46.77
557.0, 0.3309, 46.67
558.0, 0.3326, 46.50
559.0, 0.3332, 46.43
560.0, 0.3343, 46.31
561.0, 0.3354, 46.19
562.0, 0.3366, 46.07
563.0, 0.3375, 45.97
564.0, 0.3388, 45.84
565.0, 0.3399, 45.72
566.0, 0.3414, 45.56
567.0, 0.3421, 45.49
568.0, 0.3437, 45.33
569.0, 0.3448, 45.21
570.0, 0.3460, 45.08
571.0, 0.3472, 44.96
572.0, 0.3483, 44.84
573.0, 0.3495, 44.72
574.0, 0.3513, 44.53
575.0, 0.3523, 44.43
576.0, 0.3540, 44.26
577.0, 0.3549, 44.16
578.0, 0.3564, 44.01
579.0, 0.3577, 43.88
580.0, 0.3592, 43.74
581.0, 0.3606, 43.59
582.0, 0.3618, 43.47
583.0, 0.3631, 43.34
584.0, 0.3645, 43.20
585.0, 0.3656, 43.09
586.0, 0.3683, 42.83
587.0, 0.3700, 42.66
588.0, 0.3713, 42.53
