Sample Name, Sample-4
Time, January 27 22:20:35 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.7600, 17.38
401.0, 0.7549, 17.58
402.0, 0.7503, 17.77
403.0, 0.7448, 18.00
404.0, 0.7408, 18.16
405.0, 0.7369, 18.33
406.0, 0.7316, 18.55
407.0, 0.7268, 18.76
408.0, 0.7227, 18.94
409.0, 0.7189, 19.10
410.0, 0.7162, 19.22
411.0, 0.7121, 19.41
412.0, 0.7088, 19.55
413.0, 0.7055, 19.70
414.0, 0.7013, 19.90
415.0, 0.6979, 20.05
416.0, 0.6967, 20.11
417.0, 0.6938, 20.24
418.0, 0.6910, 20.37
419.0, 0.6886, 20.48
420.0, 0.6859, 20.61
421.0, 0.6839, 20.71
422.0, 0.6810, 20.84
423.0, 0.6803, 20.88
424.0, 0.6790, 20.94
425.0, 0.6766, 21.06
426.0, 0.6750, 21.13
427.0, 0.6739, 21.19
428.0, 0.6736, 21.20
429.0, 0.6729, 21.24
430.0, 0.6717, 21.30
431.0, 0.6712, 21.32
432.0, 0.6705, 21.35
433.0, 0.6689, 21.43
434.0, 0.6687, 21.45
435.0, 0.6684, 21.46
436.0, 0.6688, 21.44
437.0, 0.6697, 21.39
438.0, 0.6693, 21.41
439.0, 0.6692, 21.42
440.0, 0.6700, 21.38
441.0, 0.6694, 21.41
442.0, 0.6710, 21.33
443.0, 0.6716, 21.30
444.0, 0.6730, 21.23
445.0, 0.6735, 21.21
446.0, 0.6730, 21.23
447.0, 0.6745, 21.16
448.0, 0.6754, 21.12
449.0, 0.6768, 21.05
450.0, 0.6776, 21.01
451.0, 0.6768, 21.05
452.0, 0.6790, 20.94
453.0, 0.6803, 20.88
454.0, 0.6816, 20.82
455.0, 0.6826, 20.77
456.0, 0.6836, 20.72
457.0, 0.6851, 20.65
458.0, 0.6865, 20.58
459.0, 0.6891, 20.46
460.0, 0.6907, 20.38
461.0, 0.6921, 20.32
462.0, 0.6928, 20.28
463.0, 0.6946, 20.20
464.0, 0.6972, 20.08
465.0, 0.6999, 19.96
466.0, 0.7006, 19.93
467.0, 0.7012, 19.90
468.0, 0.7040, 19.77
469.0, 0.7061, 19.67
470.0, 0.7079, 19.59
471.0, 0.7102, 19.49
472.0, 0.7114, 19.43
473.0, 0.7126, 19.38
474.0, 0.7164, 19.21
475.0, 0.7192, 19.09
476.0, 0.7215, 18.99
477.0, 0.7233, 18.91
478.0, 0.7248, 18.84
479.0, 0.7286, 18.68
480.0, 0.7312, 18.57
481.0, 0.7323, 18.52
482.0, 0.7343, 18.44
483.0, 0.7378, 18.29
484.0, 0.7401, 18.19
485.0, 0.7424, 18.10
486.0, 0.7460, 17.95
487.0, 0.7468, 17.91
488.0, 0.7487, 17.84
489.0, 0.7514, 17.72
490.0, 0.7547, 17.59
491.0, 0.7570, 17.50
492.0, 0.7600, 17.38
493.0, 0.7616, 17.32
494.0, 0.7648, 17.19
495.0, 0.7691, 17.02
496.0, 0.7706, 16.96
497.0, 0.7723, 16.89
498.0, 0.7757, 16.76
499.0, 0.7785, 16.65
500.0, 0.7813, 16.55
501.0, 0.7834, 16.47
502.0, 0.7869, 16.34
503.0, 0.7896, 16.23
504.0, 0.7923, 16.13
505.0, 0.7945, 16.05
506.0, 0.7985, 15.90
507.0, 0.8017, 15.79
508.0, 0.8044, 15.69
509.0, 0.8068, 15.60
510.0, 0.8103, 15.48
511.0, 0.8136, 15.36
512.0, 0.8160, 15.28
513.0, 0.8185, 15.19
514.0, 0.8229, 15.04
515.0, 0.8254, 14.95
516.0, 0.8290, 14.82
517.0, 0.8316, 14.74
518.0, 0.8351, 14.62
519.0, 0.8381, 14.52
520.0, 0.8419, 14.39
521.0, 0.8441, 14.32
522.0, 0.8486, 14.17
523.0, 0.8516, 14.07
524.0, 0.8552, 13.96
525.0, 0.8592, 13.83
526.0, 0.8629, 13.71
527.0, 0.8658, 13.62
528.0, 0.8693, 13.51
529.0, 0.8738, 13.37
530.0, 0.8764, 13.29
531.0, 0.8809, 13.16
532.0, 0.8850, 13.03
533.0, 0.8882, 12.94
534.0, 0.8927, 12.80
535.0, 0.8955, 12.72
536.0, 0.8991, 12.62
537.0, 0.9029, 12.50
538.0, 0.9067, 12.40
539.0, 0.9098, 12.31
