Sample Name, Sample-10
Time, February 03 21:17:31 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.8401, 14.45
401.0, 0.8345, 14.64
402.0, 0.8305, 14.77
403.0, 0.8237, 15.01
404.0, 0.8177, 15.22
405.0, 0.8108, 15.46
406.0, 0.8058, 15.64
407.0, 0.7995, 15.87
408.0, 0.7956, 16.01
409.0, 0.7907, 16.19
410.0, 0.7847, 16.42
411.0, 0.7800, 16.60
412.0, 0.7740, 16.83
413.0, 0.7707, 16.95
414.0, 0.7674, 17.08
415.0, 0.7631, 17.26
416.0, 0.7592, 17.41
417.0, 0.7547, 17.59
418.0, 0.7511, 17.74
419.0, 0.7483, 17.85
420.0, 0.7450, 17.99
421.0, 0.7421, 18.11
422.0, 0.7398, 18.21
423.0, 0.7366, 18.34
424.0, 0.7331, 18.49
425.0, 0.7310, 18.58
426.0, 0.7288, 18.67
427.0, 0.7269, 18.76
428.0, 0.7247, 18.85
429.0, 0.7231, 18.92
430.0, 0.7218, 18.98
431.0, 0.7199, 19.06
432.0, 0.7183, 19.13
433.0, 0.7180, 19.14
434.0, 0.7165, 19.21
435.0, 0.7158, 19.24
436.0, 0.7156, 19.25
437.0, 0.7143, 19.31
438.0, 0.7142, 19.31
439.0, 0.7133, 19.35
440.0, 0.7132, 19.35
441.0, 0.7129, 19.37
442.0, 0.7140, 19.32
443.0, 0.7139, 19.32
444.0, 0.7143, 19.31
445.0, 0.7134, 19.35
446.0, 0.7139, 19.32
447.0, 0.7142, 19.31
448.0, 0.7155, 19.25
449.0, 0.7163, 19.22
450.0, 0.7182, 19.13
451.0, 0.7171, 19.18
452.0, 0.7178, 19.15
453.0, 0.7204, 19.04
454.0, 0.7208, 19.02
455.0, 0.7227, 18.94
456.0, 0.7227, 18.94
457.0, 0.7244, 18.86
458.0, 0.7253, 18.82
459.0, 0.7260, 18.79
460.0, 0.7287, 18.68
461.0, 0.7300, 18.62
462.0, 0.7312, 18.57
463.0, 0.7318, 18.55
464.0, 0.7335, 18.47
465.0, 0.7364, 18.35
466.0, 0.7382, 18.27
467.0, 0.7394, 18.22
468.0, 0.7409, 18.16
469.0, 0.7440, 18.03
470.0, 0.7438, 18.04
471.0, 0.7463, 17.94
472.0, 0.7485, 17.85
473.0, 0.7498, 17.79
474.0, 0.7513, 17.73
475.0, 0.7542, 17.61
476.0, 0.7560, 17.54
477.0, 0.7586, 17.44
478.0, 0.7608, 17.35
479.0, 0.7621, 17.29
480.0, 0.7644, 17.20
481.0, 0.7669, 17.11
482.0, 0.7681, 17.06
483.0, 0.7707, 16.95
484.0, 0.7728, 16.87
485.0, 0.7736, 16.84
486.0, 0.7784, 16.66
487.0, 0.7789, 16.64
488.0, 0.7816, 16.53
489.0, 0.7836, 16.46
490.0, 0.7858, 16.38
491.0, 0.7886, 16.27
492.0, 0.7912, 16.17
493.0, 0.7928, 16.11
494.0, 0.7951, 16.03
495.0, 0.7971, 15.95
496.0, 0.8009, 15.82
497.0, 0.8023, 15.76
498.0, 0.8044, 15.69
499.0, 0.8066, 15.61
500.0, 0.8087, 15.53
501.0, 0.8122, 15.41
502.0, 0.8140, 15.35
503.0, 0.8169, 15.24
504.0, 0.8196, 15.15
505.0, 0.8226, 15.05
506.0, 0.8259, 14.93
507.0, 0.8273, 14.88
508.0, 0.8291, 14.82
509.0, 0.8337, 14.67
510.0, 0.8346, 14.64
511.0, 0.8374, 14.54
512.0, 0.8408, 14.43
513.0, 0.8435, 14.34
514.0, 0.8464, 14.24
515.0, 0.8487, 14.17
516.0, 0.8521, 14.06
517.0, 0.8546, 13.98
518.0, 0.8584, 13.86
519.0, 0.8607, 13.78
520.0, 0.8638, 13.68
521.0, 0.8672, 13.58
522.0, 0.8691, 13.52
523.0, 0.8723, 13.42
524.0, 0.8757, 13.31
525.0, 0.8794, 13.20
526.0, 0.8827, 13.10
527.0, 0.8858, 13.01
528.0, 0.8885, 12.93
529.0, 0.8926, 12.81
530.0, 0.8962, 12.70
531.0, 0.8987, 12.63
532.0, 0.9021, 12.53
533.0, 0.9062, 12.41
534.0, 0.9097, 12.31
535.0, 0.9135, 12.20
536.0, 0.9159, 12.14
537.0, 0.9208, 12.00
538.0, 0.9243, 11.91
539.0, 0.9273, 11.82
540.0, 0.9314, 11.71
541.0, 0.9356, 11.60
542.0, 0.9391, 11.50
543.0, 0.9426, 11.41
544.0, 0.9467, 11.31
545.0, 0.9497, 11.23
546.0, 0.9546, 11.10
547.0, 0.9588, 11.00
548.0, 0.9626, 10.90
549.0, 0.9670, 10.79
550.0, 0.9716, 10.67
551.0, 0.9755, 10.58
552.0, 0.9806, 10.46
553.0, 0.9837, 10.38
554.0, 0.9884, 10.27
555.0, 0.9930, 10.16
556.0, 0.9986, 10.03
557.0, 1.0016, 9.96
558.0, 1.0071, 9.84
559.0, 1.0103, 9.77
560.0, 1.0167, 9.62
561.0, 1.0207, 9.53
562.0, 1.0255, 9.43
563.0, 1.0298, 9.34
564.0, 1.0361, 9.20
565.0, 1.0398, 9.12
566.0, 1.0444, 9.03
567.0, 1.0490, 8.93
568.0, 1.0538, 8.83
569.0, 1.0593, 8.72
570.0, 1.0644, 8.62
571.0, 1.0697, 8.52
572.0, 1.0741, 8.43
573.0, 1.0790, 8.34
574.0, 1.0850, 8.22
575.0, 1.0906, 8.12
576.0, 1.0959, 8.02
577.0, 1.1015, 7.92
578.0, 1.1076, 7.81
579.0, 1.1121, 7.73
580.0, 1.1187, 7.61
581.0, 1.1219, 7.55
582.0, 1.1249, 7.50
583.0, 1.1326, 7.37
584.0, 1.1363, 7.31
585.0, 1.1422, 7.21
586.0, 1.1466, 7.14
587.0, 1.1529, 7.03
588.0, 1.1561, 6.98
589.0, 1.1654, 6.83
590.0, 1.1685, 6.78
591.0, 1.1732, 6.71
592.0, 1.1802, 6.60
593.0, 1.1857, 6.52
594.0, 1.1891, 6.47
595.0, 1.1974, 6.35
596.0, 1.2014, 6.29
597.0, 1.2057, 6.23
598.0, 1.2142, 6.11
599.0, 1.2193, 6.04
600.0, 1.2220, 6.00
601.0, 1.2301, 5.89
602.0, 1.2337, 5.84
603.0, 1.2369, 5.80
604.0, 1.2449, 5.69
605.0, 1.2504, 5.62
606.0, 1.2547, 5.56
607.0, 1.2573, 5.53
