Sample Name, Sample-13
Time, February 03 21:26:23 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.2289, 59.04
401.0, 0.2270, 59.29
402.0, 0.2249, 59.58
403.0, 0.2233, 59.80
404.0, 0.2214, 60.07
405.0, 0.2196, 60.32
406.0, 0.2179, 60.54
407.0, 0.2158, 60.84
408.0, 0.2145, 61.03
409.0, 0.2131, 61.23
410.0, 0.2110, 61.52
411.0, 0.2094, 61.74
412.0, 0.2079, 61.96
413.0, 0.2066, 62.14
414.0, 0.2052, 62.35
415.0, 0.2037, 62.56
416.0, 0.2022, 62.77
417.0, 0.2010, 62.95
418.0, 0.1996, 63.15
419.0, 0.1985, 63.31
420.0, 0.1972, 63.50
421.0, 0.1962, 63.66
422.0, 0.1952, 63.80
423.0, 0.1941, 63.95
424.0, 0.1930, 64.12
425.0, 0.1920, 64.27
426.0, 0.1911, 64.40
427.0, 0.1901, 64.55
428.0, 0.1895, 64.64
429.0, 0.1888, 64.75
430.0, 0.1881, 64.85
431.0, 0.1876, 64.92
432.0, 0.1865, 65.08
433.0, 0.1860, 65.16
434.0, 0.1856, 65.22
435.0, 0.1854, 65.25
436.0, 0.1844, 65.40
437.0, 0.1841, 65.44
438.0, 0.1838, 65.49
439.0, 0.1835, 65.53
440.0, 0.1832, 65.58
441.0, 0.1827, 65.66
442.0, 0.1826, 65.67
443.0, 0.1825, 65.69
444.0, 0.1822, 65.74
445.0, 0.1822, 65.74
446.0, 0.1820, 65.77
447.0, 0.1816, 65.83
448.0, 0.1817, 65.81
449.0, 0.1814, 65.85
450.0, 0.1816, 65.83
451.0, 0.1815, 65.84
452.0, 0.1812, 65.88
453.0, 0.1812, 65.89
454.0, 0.1818, 65.80
455.0, 0.1818, 65.79
456.0, 0.1819, 65.78
457.0, 0.1819, 65.78
458.0, 0.1819, 65.78
459.0, 0.1820, 65.76
460.0, 0.1823, 65.72
461.0, 0.1822, 65.73
462.0, 0.1822, 65.74
463.0, 0.1824, 65.70
464.0, 0.1824, 65.70
465.0, 0.1823, 65.72
466.0, 0.1831, 65.60
467.0, 0.1827, 65.66
468.0, 0.1830, 65.61
469.0, 0.1834, 65.56
470.0, 0.1835, 65.53
471.0, 0.1840, 65.47
472.0, 0.1843, 65.41
473.0, 0.1848, 65.35
474.0, 0.1845, 65.39
475.0, 0.1850, 65.31
476.0, 0.1845, 65.38
477.0, 0.1850, 65.31
478.0, 0.1855, 65.24
479.0, 0.1856, 65.22
480.0, 0.1860, 65.17
481.0, 0.1865, 65.10
482.0, 0.1863, 65.12
483.0, 0.1864, 65.11
484.0, 0.1866, 65.08
485.0, 0.1869, 65.04
486.0, 0.1870, 65.02
487.0, 0.1874, 64.95
488.0, 0.1876, 64.93
489.0, 0.1870, 65.01
490.0, 0.1874, 64.95
491.0, 0.1879, 64.88
492.0, 0.1885, 64.79
493.0, 0.1885, 64.79
494.0, 0.1884, 64.81
495.0, 0.1891, 64.70
496.0, 0.1893, 64.67
497.0, 0.1894, 64.66
498.0, 0.1897, 64.61
499.0, 0.1902, 64.53
500.0, 0.1906, 64.48
501.0, 0.1901, 64.55
502.0, 0.1908, 64.45
503.0, 0.1907, 64.46
504.0, 0.1910, 64.41
505.0, 0.1916, 64.33
506.0, 0.1919, 64.29
507.0, 0.1921, 64.26
508.0, 0.1919, 64.29
509.0, 0.1926, 64.18
510.0, 0.1923, 64.23
511.0, 0.1923, 64.22
512.0, 0.1931, 64.11
513.0, 0.1931, 64.10
514.0, 0.1933, 64.07
515.0, 0.1940, 63.97
516.0, 0.1945, 63.91
517.0, 0.1946, 63.88
518.0, 0.1950, 63.83
519.0, 0.1947, 63.87
520.0, 0.1952, 63.80
521.0, 0.1956, 63.75
522.0, 0.1960, 63.68
523.0, 0.1962, 63.66
524.0, 0.1968, 63.56
525.0, 0.1969, 63.55
526.0, 0.1974, 63.48
527.0, 0.1981, 63.38
528.0, 0.1979, 63.41
529.0, 0.1981, 63.37
530.0, 0.1988, 63.27
531.0, 0.1991, 63.23
532.0, 0.1994, 63.18
533.0, 0.1999, 63.11
534.0, 0.2002, 63.07
535.0, 0.2007, 62.99
536.0, 0.2010, 62.95
537.0, 0.2014, 62.89
538.0, 0.2020, 62.80
539.0, 0.2024, 62.75
540.0, 0.2029, 62.67
541.0, 0.2036, 62.57
542.0, 0.2037, 62.56
543.0, 0.2044, 62.46
544.0, 0.2050, 62.38
545.0, 0.2054, 62.31
546.0, 0.2057, 62.27
547.0, 0.2066, 62.15
548.0, 0.2072, 62.07
549.0, 0.2080, 61.94
550.0, 0.2080, 61.94
551.0, 0.2084, 61.89
552.0, 0.2093, 61.76
553.0, 0.2098, 61.68
554.0, 0.2106, 61.57
555.0, 0.2108, 61.54
556.0, 0.2118, 61.40
557.0, 0.2123, 61.34
558.0, 0.2132, 61.20
559.0, 0.2137, 61.13
560.0, 0.2143, 61.05
561.0, 0.2149, 60.96
562.0, 0.2158, 60.84
563.0, 0.2166, 60.73
564.0, 0.2166, 60.74
565.0, 0.2178, 60.56
566.0, 0.2182, 60.51
567.0, 0.2193, 60.36
568.0, 0.2206, 60.17
569.0, 0.2206, 60.17
570.0, 0.2216, 60.03
571.0, 0.2224, 59.92
572.0, 0.2230, 59.84
