Sample Name, Sample-11
Time, February 03 21:20:48 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.0676, 85.59
401.0, 0.0672, 85.66
402.0, 0.0671, 85.69
403.0, 0.0668, 85.74
404.0, 0.0664, 85.81
405.0, 0.0664, 85.83
406.0, 0.0663, 85.84
407.0, 0.0658, 85.94
408.0, 0.0659, 85.92
409.0, 0.0656, 85.97
410.0, 0.0655, 86.01
411.0, 0.0652, 86.05
412.0, 0.0650, 86.11
413.0, 0.0652, 86.06
414.0, 0.0649, 86.13
415.0, 0.0647, 86.15
416.0, 0.0647, 86.16
417.0, 0.0644, 86.21
418.0, 0.0642, 86.25
419.0, 0.0640, 86.29
420.0, 0.0639, 86.31
421.0, 0.0638, 86.33
422.0, 0.0638, 86.33
423.0, 0.0638, 86.33
424.0, 0.0636, 86.37
425.0, 0.0635, 86.39
426.0, 0.0633, 86.43
427.0, 0.0633, 86.44
428.0, 0.0633, 86.44
429.0, 0.0634, 86.41
430.0, 0.0630, 86.49
431.0, 0.0631, 86.48
432.0, 0.0631, 86.47
433.0, 0.0633, 86.45
434.0, 0.0631, 86.47
435.0, 0.0630, 86.49
436.0, 0.0629, 86.53
437.0, 0.0628, 86.54
438.0, 0.0630, 86.49
439.0, 0.0629, 86.52
440.0, 0.0629, 86.51
441.0, 0.0627, 86.56
442.0, 0.0631, 86.47
443.0, 0.0629, 86.51
444.0, 0.0626, 86.57
445.0, 0.0628, 86.54
446.0, 0.0629, 86.52
447.0, 0.0628, 86.54
448.0, 0.0631, 86.48
449.0, 0.0629, 86.52
450.0, 0.0630, 86.50
451.0, 0.0627, 86.55
452.0, 0.0627, 86.55
453.0, 0.0629, 86.52
454.0, 0.0631, 86.48
455.0, 0.0632, 86.46
456.0, 0.0632, 86.45
457.0, 0.0632, 86.45
458.0, 0.0630, 86.50
459.0, 0.0631, 86.48
460.0, 0.0630, 86.50
461.0, 0.0630, 86.49
462.0, 0.0629, 86.51
463.0, 0.0629, 86.51
464.0, 0.0628, 86.54
465.0, 0.0625, 86.60
466.0, 0.0634, 86.43
467.0, 0.0628, 86.54
468.0, 0.0633, 86.44
469.0, 0.0635, 86.40
470.0, 0.0631, 86.47
471.0, 0.0629, 86.52
472.0, 0.0633, 86.43
473.0, 0.0634, 86.43
474.0, 0.0632, 86.45
475.0, 0.0638, 86.35
476.0, 0.0634, 86.42
477.0, 0.0637, 86.36
478.0, 0.0635, 86.40
479.0, 0.0635, 86.40
480.0, 0.0633, 86.43
481.0, 0.0637, 86.37
482.0, 0.0634, 86.42
483.0, 0.0635, 86.39
484.0, 0.0636, 86.38
485.0, 0.0635, 86.39
486.0, 0.0638, 86.34
487.0, 0.0640, 86.30
488.0, 0.0636, 86.38
489.0, 0.0635, 86.40
490.0, 0.0638, 86.34
491.0, 0.0638, 86.33
492.0, 0.0639, 86.31
493.0, 0.0636, 86.37
494.0, 0.0638, 86.34
495.0, 0.0643, 86.25
496.0, 0.0645, 86.20
497.0, 0.0642, 86.26
498.0, 0.0640, 86.30
499.0, 0.0642, 86.25
500.0, 0.0646, 86.19
501.0, 0.0640, 86.29
502.0, 0.0645, 86.21
503.0, 0.0643, 86.23
504.0, 0.0648, 86.13
505.0, 0.0648, 86.13
506.0, 0.0649, 86.12
507.0, 0.0650, 86.11
508.0, 0.0647, 86.17
509.0, 0.0651, 86.08
510.0, 0.0645, 86.19
511.0, 0.0649, 86.13
512.0, 0.0652, 86.06
513.0, 0.0652, 86.07
514.0, 0.0653, 86.04
515.0, 0.0655, 86.00
516.0, 0.0655, 86.00
517.0, 0.0653, 86.03
518.0, 0.0656, 85.98
519.0, 0.0654, 86.02
520.0, 0.0658, 85.95
521.0, 0.0660, 85.91
522.0, 0.0657, 85.95
523.0, 0.0658, 85.94
524.0, 0.0661, 85.88
525.0, 0.0660, 85.90
526.0, 0.0663, 85.84
527.0, 0.0665, 85.80
528.0, 0.0662, 85.86
529.0, 0.0662, 85.85
530.0, 0.0664, 85.81
531.0, 0.0665, 85.79
532.0, 0.0665, 85.80
533.0, 0.0667, 85.76
534.0, 0.0667, 85.76
535.0, 0.0668, 85.74
536.0, 0.0667, 85.76
537.0, 0.0669, 85.72
538.0, 0.0671, 85.69
539.0, 0.0670, 85.71
540.0, 0.0672, 85.66
541.0, 0.0675, 85.60
542.0, 0.0672, 85.65
543.0, 0.0678, 85.54
544.0, 0.0676, 85.58
545.0, 0.0678, 85.55
546.0, 0.0680, 85.50
547.0, 0.0684, 85.43
548.0, 0.0684, 85.42
549.0, 0.0686, 85.39
550.0, 0.0683, 85.45
551.0, 0.0687, 85.37
552.0, 0.0688, 85.35
553.0, 0.0690, 85.30
554.0, 0.0691, 85.29
555.0, 0.0690, 85.30
556.0, 0.0693, 85.24
557.0, 0.0694, 85.24
558.0, 0.0698, 85.16
559.0, 0.0698, 85.15
560.0, 0.0699, 85.14
561.0, 0.0702, 85.08
562.0, 0.0706, 85.00
563.0, 0.0706, 85.00
564.0, 0.0701, 85.09
565.0, 0.0707, 84.99
566.0, 0.0705, 85.01
567.0, 0.0708, 84.96
568.0, 0.0712, 84.88
569.0, 0.0713, 84.86
570.0, 0.0716, 84.79
571.0, 0.0719, 84.73
572.0, 0.0720, 84.73
573.0, 0.0722, 84.68
574.0, 0.0725, 84.63
575.0, 0.0724, 84.65
576.0, 0.0725, 84.62
577.0, 0.0728, 84.56
578.0, 0.0732, 84.50
579.0, 0.0735, 84.42
580.0, 0.0734, 84.45
581.0, 0.0737, 84.39
582.0, 0.0734, 84.45
583.0, 0.0741, 84.32
584.0, 0.0741, 84.32
585.0, 0.0744, 84.25
586.0, 0.0745, 84.23
587.0, 0.0745, 84.24
588.0, 0.0750, 84.13
589.0, 0.0751, 84.11
590.0, 0.0752, 84.11
591.0, 0.0753, 84.08
592.0, 0.0753, 84.07
593.0, 0.0757, 84.00
594.0, 0.0761, 83.92
595.0, 0.0764, 83.87
596.0, 0.0766, 83.82
597.0, 0.0770, 83.76
598.0, 0.0775, 83.66
599.0, 0.0773, 83.69
600.0, 0.0775, 83.66
601.0, 0.0776, 83.65
602.0, 0.0778, 83.60
603.0, 0.0783, 83.50
604.0, 0.0786, 83.44
605.0, 0.0787, 83.43
606.0, 0.0786, 83.44
607.0, 0.0792, 83.33
608.0, 0.0792, 83.32
609.0, 0.0791, 83.35
610.0, 0.0796, 83.26
611.0, 0.0796, 83.25
612.0, 0.0795, 83.27
613.0, 0.0800, 83.18
614.0, 0.0800, 83.17
615.0, 0.0804, 83.10
616.0, 0.0806, 83.05
617.0, 0.0804, 83.10
618.0, 0.0809, 83.01
619.0, 0.0807, 83.05
620.0, 0.0812, 82.95
621.0, 0.0812, 82.96
622.0, 0.0817, 82.85
623.0, 0.0818, 82.84
624.0, 0.0817, 82.85
625.0, 0.0823, 82.74
626.0, 0.0822, 82.75
627.0, 0.0826, 82.68
628.0, 0.0824, 82.71
629.0, 0.0827, 82.67
630.0, 0.0826, 82.68
631.0, 0.0835, 82.51
632.0, 0.0836, 82.49
633.0, 0.0837, 82.46
634.0, 0.0840, 82.41
635.0, 0.0839, 82.43
636.0, 0.0841, 82.39
637.0, 0.0842, 82.38
638.0, 0.0846, 82.30
639.0, 0.0844, 82.33
640.0, 0.0851, 82.21
641.0, 0.0854, 82.16
642.0, 0.0850, 82.22
643.0, 0.0857, 82.09
644.0, 0.0850, 82.22
645.0, 0.0860, 82.03
646.0, 0.0858, 82.08
647.0, 0.0859, 82.06
648.0, 0.0860, 82.04
649.0, 0.0861, 82.02
650.0, 0.0861, 82.01
651.0, 0.0865, 81.95
652.0, 0.0864, 81.96
653.0, 0.0865, 81.95
654.0, 0.0867, 81.90
655.0, 0.0870, 81.86
656.0, 0.0873, 81.79
657.0, 0.0868, 81.88
658.0, 0.0873, 81.78
659.0, 0.0876, 81.73
660.0, 0.0878, 81.70
661.0, 0.0877, 81.72
662.0, 0.0883, 81.60
663.0, 0.0883, 81.60
664.0, 0.0886, 81.55
665.0, 0.0890, 81.48
666.0, 0.0889, 81.49
667.0, 0.0888, 81.51
668.0, 0.0884, 81.58
669.0, 0.0889, 81.49
670.0, 0.0889, 81.48
671.0, 0.0898, 81.32
672.0, 0.0895, 81.37
673.0, 0.0901, 81.26
674.0, 0.0899, 81.30
675.0, 0.0898, 81.32
676.0, 0.0899, 81.30
677.0, 0.0898, 81.32
678.0, 0.0905, 81.20
679.0, 0.0905, 81.19
680.0, 0.0905, 81.19
681.0, 0.0907, 81.16
682.0, 0.0909, 81.12
683.0, 0.0908, 81.14
684.0, 0.0910, 81.09
685.0, 0.0912, 81.06
686.0, 0.0912, 81.05
687.0, 0.0914, 81.02
688.0, 0.0912, 81.07
689.0, 0.0913, 81.05
690.0, 0.0910, 81.10
691.0, 0.0919, 80.92
692.0, 0.0923, 80.86
693.0, 0.0921, 80.89
694.0, 0.0922, 80.87
695.0, 0.0923, 80.86
696.0, 0.0921, 80.89
697.0, 0.0924, 80.83
698.0, 0.0929, 80.74
699.0, 0.0931, 80.71
700.0, 0.0927, 80.77
701.0, 0.0931, 80.71
702.0, 0.0934, 80.65
703.0, 0.0936, 80.61
704.0, 0.0938, 80.57
705.0, 0.0940, 80.55
706.0, 0.0942, 80.50
707.0, 0.0944, 80.47
708.0, 0.0948, 80.39
709.0, 0.0947, 80.42
710.0, 0.0951, 80.33
711.0, 0.0952, 80.31
712.0, 0.0955, 80.25
713.0, 0.0956, 80.24
714.0, 0.0958, 80.20
715.0, 0.0963, 80.11
716.0, 0.0965, 80.08
717.0, 0.0968, 80.01
718.0, 0.0967, 80.04
719.0, 0.0972, 79.95
720.0, 0.0974, 79.91
721.0, 0.0978, 79.84
722.0, 0.0980, 79.80
723.0, 0.0981, 79.79
724.0, 0.0987, 79.67
725.0, 0.0990, 79.61
726.0, 0.0996, 79.51
727.0, 0.1000, 79.43
728.0, 0.1003, 79.38
729.0, 0.1007, 79.31
730.0, 0.1012, 79.21
731.0, 0.1017, 79.12
732.0, 0.1023, 79.01
733.0, 0.1029, 78.90
734.0, 0.1034, 78.82
735.0, 0.1039, 78.72
736.0, 0.1041, 78.69
737.0, 0.1045, 78.61
738.0, 0.1050, 78.53
739.0, 0.1050, 78.53
740.0, 0.1050, 78.53
741.0, 0.1052, 78.49
742.0, 0.1052, 78.49
743.0, 0.1052, 78.48
744.0, 0.1056, 78.42
745.0, 0.1055, 78.43
746.0, 0.1053, 78.48
747.0, 0.1051, 78.50
748.0, 0.1051, 78.50
749.0, 0.1055, 78.44
750.0, 0.1055, 78.43
751.0, 0.1054, 78.44
752.0, 0.1054, 78.45
753.0, 0.1057, 78.39
754.0, 0.1056, 78.42
755.0, 0.1054, 78.45
756.0, 0.1056, 78.42
757.0, 0.1052, 78.48
758.0, 0.1050, 78.52
759.0, 0.1049, 78.54
760.0, 0.1051, 78.50
761.0, 0.1054, 78.44
762.0, 0.1056, 78.42
763.0, 0.1050, 78.52
764.0, 0.1049, 78.54
765.0, 0.1046, 78.59
766.0, 0.1046, 78.59
767.0, 0.1050, 78.52
768.0, 0.1046, 78.60
769.0, 0.1048, 78.56
770.0, 0.1043, 78.65
771.0, 0.1042, 78.67
772.0, 0.1039, 78.72
773.0, 0.1041, 78.69
774.0, 0.1041, 78.69
775.0, 0.1039, 78.71
776.0, 0.1037, 78.76
777.0, 0.1034, 78.81
778.0, 0.1031, 78.87
779.0, 0.1029, 78.90
780.0, 0.1029, 78.90
781.0, 0.1027, 78.94
782.0, 0.1028, 78.92
783.0, 0.1021, 79.04
784.0, 0.1020, 79.06
785.0, 0.1016, 79.14
786.0, 0.1015, 79.16
787.0, 0.1008, 79.29
788.0, 0.1012, 79.22
789.0, 0.1013, 79.19
790.0, 0.1011, 79.23
791.0, 0.1004, 79.36
792.0, 0.1003, 79.39
793.0, 0.0999, 79.45
794.0, 0.1001, 79.42
795.0, 0.0994, 79.55
796.0, 0.0988, 79.66
797.0, 0.0995, 79.52
798.0, 0.0992, 79.58
799.0, 0.0988, 79.65
800.0, 0.0983, 79.74
801.0, 0.0987, 79.68
802.0, 0.0978, 79.83
803.0, 0.0980, 79.80
804.0, 0.0974, 79.90
805.0, 0.0974, 79.90
806.0, 0.0971, 79.96
807.0, 0.0970, 79.99
808.0, 0.0969, 79.99
809.0, 0.0965, 80.07
810.0, 0.0964, 80.09
811.0, 0.0963, 80.11
812.0, 0.0960, 80.18
813.0, 0.0959, 80.18
814.0, 0.0963, 80.12
815.0, 0.0958, 80.20
816.0, 0.0956, 80.25
817.0, 0.0956, 80.24
818.0, 0.0957, 80.21
819.0, 0.0954, 80.27
820.0, 0.0958, 80.21
821.0, 0.0954, 80.27
822.0, 0.0956, 80.23
823.0, 0.0958, 80.21
824.0, 0.0959, 80.18
825.0, 0.0961, 80.16
826.0, 0.0961, 80.14
827.0, 0.0966, 80.06
828.0, 0.0973, 79.93
829.0, 0.0970, 79.98
