Sample Name, Sample-8
Time, February 03 21:12:10 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.3610, 43.55
401.0, 0.3592, 43.74
402.0, 0.3572, 43.94
403.0, 0.3554, 44.12
404.0, 0.3533, 44.33
405.0, 0.3511, 44.56
406.0, 0.3499, 44.68
407.0, 0.3481, 44.87
408.0, 0.3467, 45.01
409.0, 0.3452, 45.16
410.0, 0.3439, 45.30
411.0, 0.3423, 45.47
412.0, 0.3408, 45.63
413.0, 0.3399, 45.72
414.0, 0.3387, 45.85
415.0, 0.3378, 45.95
416.0, 0.3363, 46.10
417.0, 0.3356, 46.17
418.0, 0.3350, 46.24
419.0, 0.3337, 46.38
420.0, 0.3328, 46.47
421.0, 0.3326, 46.49
422.0, 0.3322, 46.53
423.0, 0.3314, 46.62
424.0, 0.3305, 46.72
425.0, 0.3299, 46.78
426.0, 0.3295, 46.83
427.0, 0.3292, 46.86
428.0, 0.3293, 46.84
429.0, 0.3289, 46.89
430.0, 0.3288, 46.90
431.0, 0.3287, 46.91
432.0, 0.3285, 46.94
433.0, 0.3283, 46.96
434.0, 0.3285, 46.93
435.0, 0.3287, 46.92
436.0, 0.3287, 46.92
437.0, 0.3287, 46.92
438.0, 0.3289, 46.89
439.0, 0.3292, 46.86
440.0, 0.3293, 46.85
441.0, 0.3298, 46.79
442.0, 0.3305, 46.72
443.0, 0.3310, 46.67
444.0, 0.3310, 46.66
445.0, 0.3317, 46.59
446.0, 0.3322, 46.54
447.0, 0.3326, 46.49
448.0, 0.3338, 46.37
449.0, 0.3341, 46.33
450.0, 0.3347, 46.27
451.0, 0.3355, 46.18
452.0, 0.3370, 46.02
453.0, 0.3373, 46.00
454.0, 0.3379, 45.93
455.0, 0.3392, 45.79
456.0, 0.3397, 45.74
457.0, 0.3407, 45.63
458.0, 0.3414, 45.57
459.0, 0.3421, 45.49
460.0, 0.3434, 45.36
461.0, 0.3441, 45.28
462.0, 0.3450, 45.19
463.0, 0.3460, 45.09
464.0, 0.3469, 44.99
465.0, 0.3473, 44.94
466.0, 0.3482, 44.86
467.0, 0.3500, 44.67
468.0, 0.3508, 44.58
469.0, 0.3523, 44.43
470.0, 0.3534, 44.32
471.0, 0.3541, 44.25
472.0, 0.3553, 44.12
473.0, 0.3562, 44.04
474.0, 0.3573, 43.92
475.0, 0.3585, 43.80
476.0, 0.3594, 43.72
477.0, 0.3601, 43.65
478.0, 0.3619, 43.46
479.0, 0.3632, 43.33
480.0, 0.3642, 43.23
481.0, 0.3659, 43.07
482.0, 0.3669, 42.97
483.0, 0.3681, 42.84
484.0, 0.3692, 42.74
485.0, 0.3704, 42.62
486.0, 0.3717, 42.49
487.0, 0.3729, 42.37
488.0, 0.3738, 42.28
489.0, 0.3746, 42.20
490.0, 0.3764, 42.04
491.0, 0.3777, 41.91
492.0, 0.3793, 41.76
493.0, 0.3807, 41.62
494.0, 0.3813, 41.56
495.0, 0.3829, 41.41
496.0, 0.3851, 41.20
497.0, 0.3859, 41.13
498.0, 0.3874, 40.99
499.0, 0.3885, 40.88
500.0, 0.3895, 40.78
501.0, 0.3910, 40.64
502.0, 0.3926, 40.49
503.0, 0.3942, 40.35
504.0, 0.3958, 40.20
505.0, 0.3978, 40.02
506.0, 0.3988, 39.92
507.0, 0.4004, 39.77
508.0, 0.4016, 39.66
509.0, 0.4034, 39.50
510.0, 0.4045, 39.40
511.0, 0.4059, 39.28
512.0, 0.4077, 39.11
513.0, 0.4088, 39.01
514.0, 0.4106, 38.85
515.0, 0.4123, 38.70
516.0, 0.4138, 38.57
517.0, 0.4154, 38.42
518.0, 0.4172, 38.26
519.0, 0.4187, 38.14
520.0, 0.4207, 37.96
521.0, 0.4221, 37.84
522.0, 0.4237, 37.70
523.0, 0.4255, 37.54
524.0, 0.4277, 37.35
525.0, 0.4289, 37.25
526.0, 0.4306, 37.10
527.0, 0.4325, 36.94
528.0, 0.4344, 36.78
529.0, 0.4359, 36.66
530.0, 0.4381, 36.47
531.0, 0.4392, 36.37
532.0, 0.4415, 36.19
533.0, 0.4436, 36.01
534.0, 0.4455, 35.85
535.0, 0.4473, 35.70
536.0, 0.4497, 35.51
537.0, 0.4512, 35.39
538.0, 0.4536, 35.18
539.0, 0.4552, 35.06
540.0, 0.4575, 34.88
541.0, 0.4598, 34.69
542.0, 0.4616, 34.55
543.0, 0.4635, 34.39
544.0, 0.4654, 34.24
545.0, 0.4673, 34.10
546.0, 0.4696, 33.91
547.0, 0.4720, 33.73
548.0, 0.4742, 33.56
549.0, 0.4766, 33.37
550.0, 0.4790, 33.19
551.0, 0.4810, 33.04
552.0, 0.4834, 32.86
553.0, 0.4853, 32.71
554.0, 0.4879, 32.51
555.0, 0.4902, 32.35
556.0, 0.4925, 32.18
557.0, 0.4946, 32.02
558.0, 0.4975, 31.81
559.0, 0.4996, 31.65
560.0, 0.5019, 31.48
561.0, 0.5042, 31.32
562.0, 0.5069, 31.12
563.0, 0.5091, 30.97
564.0, 0.5117, 30.78
565.0, 0.5144, 30.59
566.0, 0.5167, 30.43
567.0, 0.5190, 30.27
568.0, 0.5218, 30.08
569.0, 0.5246, 29.88
570.0, 0.5274, 29.69
571.0, 0.5292, 29.57
572.0, 0.5320, 29.38
573.0, 0.5353, 29.16
574.0, 0.5375, 29.01
575.0, 0.5402, 28.83
576.0, 0.5425, 28.68
577.0, 0.5454, 28.48
578.0, 0.5489, 28.26
579.0, 0.5510, 28.12
580.0, 0.5530, 27.99
581.0, 0.5560, 27.80
582.0, 0.5585, 27.64
583.0, 0.5614, 27.46
584.0, 0.5644, 27.27
585.0, 0.5668, 27.12
586.0, 0.5691, 26.97
587.0, 0.5721, 26.78
588.0, 0.5742, 26.66
589.0, 0.5779, 26.43
590.0, 0.5795, 26.33
591.0, 0.5825, 26.15
592.0, 0.5861, 25.94
593.0, 0.5885, 25.79
594.0, 0.5905, 25.67
