Sample Name, Sample-7
Time, February 03 21:07:49 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.1441, 71.77
401.0, 0.1434, 71.88
402.0, 0.1426, 72.01
403.0, 0.1418, 72.14
404.0, 0.1411, 72.26
405.0, 0.1406, 72.35
406.0, 0.1402, 72.42
407.0, 0.1390, 72.61
408.0, 0.1389, 72.62
409.0, 0.1382, 72.74
410.0, 0.1380, 72.78
411.0, 0.1371, 72.92
412.0, 0.1366, 73.01
413.0, 0.1366, 73.01
414.0, 0.1360, 73.11
415.0, 0.1357, 73.17
416.0, 0.1351, 73.27
417.0, 0.1351, 73.26
418.0, 0.1345, 73.37
419.0, 0.1341, 73.44
420.0, 0.1338, 73.48
421.0, 0.1337, 73.50
422.0, 0.1337, 73.50
423.0, 0.1334, 73.55
424.0, 0.1330, 73.62
425.0, 0.1328, 73.65
426.0, 0.1325, 73.71
427.0, 0.1323, 73.74
428.0, 0.1323, 73.75
429.0, 0.1324, 73.72
430.0, 0.1321, 73.78
431.0, 0.1323, 73.74
432.0, 0.1318, 73.83
433.0, 0.1322, 73.76
434.0, 0.1321, 73.77
435.0, 0.1323, 73.74
436.0, 0.1319, 73.81
437.0, 0.1321, 73.77
438.0, 0.1323, 73.73
439.0, 0.1323, 73.74
440.0, 0.1323, 73.73
441.0, 0.1326, 73.69
442.0, 0.1328, 73.66
443.0, 0.1329, 73.63
444.0, 0.1329, 73.63
445.0, 0.1331, 73.61
446.0, 0.1333, 73.57
447.0, 0.1331, 73.61
448.0, 0.1337, 73.50
449.0, 0.1340, 73.46
450.0, 0.1339, 73.47
451.0, 0.1342, 73.42
452.0, 0.1342, 73.41
453.0, 0.1344, 73.38
454.0, 0.1348, 73.32
455.0, 0.1351, 73.26
456.0, 0.1353, 73.24
457.0, 0.1358, 73.15
458.0, 0.1360, 73.12
459.0, 0.1360, 73.12
460.0, 0.1365, 73.02
461.0, 0.1368, 72.97
462.0, 0.1369, 72.96
463.0, 0.1371, 72.93
464.0, 0.1374, 72.89
465.0, 0.1373, 72.90
466.0, 0.1378, 72.81
467.0, 0.1386, 72.67
468.0, 0.1388, 72.65
469.0, 0.1391, 72.60
470.0, 0.1395, 72.53
471.0, 0.1397, 72.50
472.0, 0.1399, 72.47
473.0, 0.1398, 72.48
474.0, 0.1406, 72.34
475.0, 0.1410, 72.27
476.0, 0.1410, 72.28
477.0, 0.1412, 72.25
478.0, 0.1421, 72.10
479.0, 0.1423, 72.06
480.0, 0.1427, 71.99
481.0, 0.1431, 71.93
482.0, 0.1431, 71.93
483.0, 0.1439, 71.79
484.0, 0.1440, 71.78
485.0, 0.1439, 71.79
486.0, 0.1449, 71.63
487.0, 0.1449, 71.63
488.0, 0.1447, 71.66
489.0, 0.1458, 71.48
490.0, 0.1460, 71.45
491.0, 0.1463, 71.41
492.0, 0.1471, 71.27
493.0, 0.1473, 71.23
494.0, 0.1476, 71.18
495.0, 0.1482, 71.09
496.0, 0.1488, 70.98
497.0, 0.1492, 70.93
498.0, 0.1491, 70.94
499.0, 0.1499, 70.81
500.0, 0.1505, 70.71
501.0, 0.1504, 70.72
502.0, 0.1509, 70.64
503.0, 0.1518, 70.50
504.0, 0.1520, 70.47
505.0, 0.1525, 70.39
506.0, 0.1529, 70.32
507.0, 0.1535, 70.23
508.0, 0.1537, 70.19
509.0, 0.1545, 70.06
510.0, 0.1543, 70.10
511.0, 0.1553, 69.94
512.0, 0.1560, 69.83
513.0, 0.1561, 69.81
514.0, 0.1565, 69.74
515.0, 0.1574, 69.59
516.0, 0.1578, 69.53
517.0, 0.1581, 69.49
518.0, 0.1587, 69.39
519.0, 0.1594, 69.29
520.0, 0.1601, 69.17
521.0, 0.1605, 69.11
522.0, 0.1606, 69.08
523.0, 0.1612, 68.99
524.0, 0.1624, 68.79
525.0, 0.1625, 68.78
526.0, 0.1633, 68.67
527.0, 0.1640, 68.55
528.0, 0.1643, 68.50
529.0, 0.1649, 68.41
530.0, 0.1655, 68.32
531.0, 0.1660, 68.24
532.0, 0.1667, 68.12
533.0, 0.1674, 68.02
534.0, 0.1684, 67.86
535.0, 0.1685, 67.84
536.0, 0.1692, 67.73
537.0, 0.1700, 67.61
538.0, 0.1708, 67.49
539.0, 0.1713, 67.40
540.0, 0.1723, 67.26
541.0, 0.1730, 67.14
542.0, 0.1730, 67.15
543.0, 0.1741, 66.98
544.0, 0.1749, 66.85
545.0, 0.1754, 66.78
546.0, 0.1764, 66.61
547.0, 0.1773, 66.48
548.0, 0.1778, 66.40
549.0, 0.1786, 66.28
550.0, 0.1793, 66.17
551.0, 0.1799, 66.08
552.0, 0.1809, 65.93
553.0, 0.1817, 65.80
554.0, 0.1826, 65.68
555.0, 0.1833, 65.57
556.0, 0.1841, 65.44
557.0, 0.1848, 65.34
558.0, 0.1859, 65.18
559.0, 0.1866, 65.07
560.0, 0.1871, 64.99
561.0, 0.1881, 64.85
562.0, 0.1894, 64.65
563.0, 0.1900, 64.56
564.0, 0.1907, 64.45
565.0, 0.1917, 64.31
566.0, 0.1923, 64.22
567.0, 0.1932, 64.09
568.0, 0.1945, 63.90
569.0, 0.1952, 63.80
570.0, 0.1962, 63.65
571.0, 0.1971, 63.52
572.0, 0.1977, 63.43
573.0, 0.1989, 63.26
574.0, 0.1999, 63.11
575.0, 0.2003, 63.06
576.0, 0.2017, 62.85
577.0, 0.2023, 62.76
578.0, 0.2034, 62.60
579.0, 0.2048, 62.41
580.0, 0.2051, 62.36
581.0, 0.2066, 62.14
582.0, 0.2071, 62.07
583.0, 0.2080, 61.95
584.0, 0.2092, 61.77
585.0, 0.2102, 61.63
586.0, 0.2107, 61.56
587.0, 0.2120, 61.38
588.0, 0.2125, 61.31
589.0, 0.2136, 61.15
590.0, 0.2146, 61.01
591.0, 0.2153, 60.91
592.0, 0.2164, 60.75
593.0, 0.2176, 60.59
594.0, 0.2187, 60.43
595.0, 0.2194, 60.34
596.0, 0.2206, 60.18
597.0, 0.2213, 60.07
598.0, 0.2227, 59.88
599.0, 0.2228, 59.86
600.0, 0.2249, 59.58
601.0, 0.2252, 59.53
602.0, 0.2257, 59.47
603.0, 0.2272, 59.26
604.0, 0.2280, 59.15
605.0, 0.2291, 59.01
606.0, 0.2299, 58.90
607.0, 0.2310, 58.75
608.0, 0.2322, 58.58
609.0, 0.2325, 58.54
610.0, 0.2339, 58.36
611.0, 0.2344, 58.29
612.0, 0.2353, 58.17
613.0, 0.2364, 58.03
614.0, 0.2371, 57.94
615.0, 0.2385, 57.74
616.0, 0.2390, 57.68
617.0, 0.2400, 57.55
618.0, 0.2404, 57.49
619.0, 0.2413, 57.38
620.0, 0.2426, 57.21
621.0, 0.2432, 57.12
622.0, 0.2443, 56.98
623.0, 0.2448, 56.91
624.0, 0.2457, 56.79
625.0, 0.2466, 56.67
626.0, 0.2474, 56.58
627.0, 0.2483, 56.45
628.0, 0.2486, 56.42
629.0, 0.2495, 56.30
630.0, 0.2503, 56.20
631.0, 0.2513, 56.07
632.0, 0.2520, 55.97
633.0, 0.2531, 55.83
634.0, 0.2536, 55.77
635.0, 0.2543, 55.69
636.0, 0.2549, 55.61
637.0, 0.2555, 55.52
638.0, 0.2567, 55.37
639.0, 0.2572, 55.31
640.0, 0.2581, 55.19
641.0, 0.2588, 55.10
642.0, 0.2597, 55.00
643.0, 0.2601, 54.94
644.0, 0.2606, 54.88
645.0, 0.2617, 54.73
646.0, 0.2623, 54.66
647.0, 0.2634, 54.52
648.0, 0.2637, 54.49
649.0, 0.2642, 54.43
650.0, 0.2651, 54.31
651.0, 0.2657, 54.24
652.0, 0.2659, 54.21
653.0, 0.2669, 54.09
654.0, 0.2673, 54.03
655.0, 0.2684, 53.90
656.0, 0.2689, 53.84
657.0, 0.2693, 53.78
658.0, 0.2701, 53.69
659.0, 0.2708, 53.61
660.0, 0.2714, 53.54
661.0, 0.2719, 53.46
662.0, 0.2724, 53.40
663.0, 0.2732, 53.31
664.0, 0.2735, 53.27
665.0, 0.2743, 53.18
666.0, 0.2750, 53.09
667.0, 0.2751, 53.08
668.0, 0.2759, 52.97
669.0, 0.2764, 52.92
670.0, 0.2765, 52.90
671.0, 0.2780, 52.73
672.0, 0.2785, 52.67
673.0, 0.2788, 52.62
674.0, 0.2792, 52.58
675.0, 0.2797, 52.52
676.0, 0.2803, 52.44
677.0, 0.2805, 52.42
678.0, 0.2815, 52.30
679.0, 0.2817, 52.28
680.0, 0.2822, 52.21
681.0, 0.2826, 52.17
682.0, 0.2830, 52.12
683.0, 0.2835, 52.05
684.0, 0.2842, 51.98
685.0, 0.2848, 51.90
686.0, 0.2853, 51.85
687.0, 0.2857, 51.80
688.0, 0.2865, 51.71
689.0, 0.2868, 51.67
690.0, 0.2872, 51.62
691.0, 0.2878, 51.54
692.0, 0.2879, 51.54
693.0, 0.2887, 51.44
694.0, 0.2891, 51.39
695.0, 0.2900, 51.29
696.0, 0.2903, 51.26
697.0, 0.2905, 51.23
698.0, 0.2907, 51.21
699.0, 0.2921, 51.04
700.0, 0.2920, 51.05
701.0, 0.2928, 50.95
702.0, 0.2929, 50.94
703.0, 0.2935, 50.87
704.0, 0.2940, 50.81
705.0, 0.2946, 50.75
706.0, 0.2950, 50.70
707.0, 0.2955, 50.64
708.0, 0.2961, 50.57
709.0, 0.2964, 50.54
710.0, 0.2969, 50.48
711.0, 0.2974, 50.42
712.0, 0.2978, 50.37
713.0, 0.2984, 50.30
714.0, 0.2988, 50.26
715.0, 0.2995, 50.18
716.0, 0.3000, 50.12
717.0, 0.3007, 50.04
718.0, 0.3008, 50.02
719.0, 0.3016, 49.94
720.0, 0.3020, 49.88
721.0, 0.3026, 49.82
722.0, 0.3032, 49.75
723.0, 0.3037, 49.70
724.0, 0.3041, 49.65
725.0, 0.3045, 49.60
726.0, 0.3056, 49.48
727.0, 0.3059, 49.45
728.0, 0.3064, 49.38
729.0, 0.3073, 49.28
730.0, 0.3076, 49.24
731.0, 0.3085, 49.15
732.0, 0.3094, 49.04
733.0, 0.3100, 48.97
734.0, 0.3107, 48.90
735.0, 0.3111, 48.86
736.0, 0.3117, 48.78
737.0, 0.3123, 48.72
738.0, 0.3125, 48.69
739.0, 0.3128, 48.66
740.0, 0.3132, 48.61
741.0, 0.3131, 48.63
742.0, 0.3131, 48.63
743.0, 0.3133, 48.60
744.0, 0.3139, 48.55
745.0, 0.3132, 48.62
746.0, 0.3135, 48.58
747.0, 0.3134, 48.59
748.0, 0.3134, 48.59
749.0, 0.3133, 48.61
750.0, 0.3134, 48.59
751.0, 0.3136, 48.57
752.0, 0.3133, 48.61
753.0, 0.3138, 48.55
754.0, 0.3139, 48.55
755.0, 0.3135, 48.59
756.0, 0.3135, 48.58
757.0, 0.3133, 48.61
758.0, 0.3128, 48.66
759.0, 0.3125, 48.69
760.0, 0.3127, 48.67
761.0, 0.3125, 48.69
762.0, 0.3129, 48.66
763.0, 0.3124, 48.71
764.0, 0.3123, 48.72
765.0, 0.3118, 48.77
766.0, 0.3119, 48.77
767.0, 0.3113, 48.84
768.0, 0.3113, 48.83
769.0, 0.3109, 48.87
770.0, 0.3103, 48.94
771.0, 0.3098, 49.01
772.0, 0.3097, 49.01
773.0, 0.3093, 49.06
774.0, 0.3094, 49.05
775.0, 0.3088, 49.12
776.0, 0.3083, 49.17
777.0, 0.3079, 49.21
778.0, 0.3071, 49.30
779.0, 0.3069, 49.33
780.0, 0.3063, 49.40
781.0, 0.3064, 49.38
782.0, 0.3055, 49.49
783.0, 0.3051, 49.53
784.0, 0.3045, 49.61
785.0, 0.3039, 49.67
786.0, 0.3033, 49.74
787.0, 0.3022, 49.87
788.0, 0.3020, 49.89
789.0, 0.3017, 49.93
790.0, 0.3009, 50.02
791.0, 0.3005, 50.06
792.0, 0.3002, 50.09
793.0, 0.2990, 50.23
794.0, 0.2986, 50.28
795.0, 0.2977, 50.39
796.0, 0.2969, 50.47
797.0, 0.2968, 50.49
798.0, 0.2961, 50.58
799.0, 0.2955, 50.64
800.0, 0.2940, 50.81
801.0, 0.2943, 50.78
802.0, 0.2939, 50.82
803.0, 0.2927, 50.96
804.0, 0.2921, 51.04
805.0, 0.2916, 51.10
806.0, 0.2906, 51.22
807.0, 0.2904, 51.24
808.0, 0.2896, 51.33
809.0, 0.2887, 51.43
810.0, 0.2882, 51.50
811.0, 0.2874, 51.59
812.0, 0.2869, 51.66
813.0, 0.2866, 51.68
814.0, 0.2860, 51.76
815.0, 0.2854, 51.83
816.0, 0.2848, 51.90
817.0, 0.2836, 52.05
818.0, 0.2835, 52.06
819.0, 0.2830, 52.12
820.0, 0.2827, 52.16
821.0, 0.2819, 52.25
822.0, 0.2816, 52.28
823.0, 0.2809, 52.38
824.0, 0.2807, 52.40
825.0, 0.2802, 52.46
826.0, 0.2801, 52.47
827.0, 0.2802, 52.46
828.0, 0.2799, 52.49
829.0, 0.2796, 52.53
830.0, 0.2793, 52.56
831.0, 0.2794, 52.55
832.0, 0.2791, 52.59
833.0, 0.2791, 52.59
834.0, 0.2790, 52.60
835.0, 0.2780, 52.72
836.0, 0.2780, 52.72
837.0, 0.2777, 52.75
838.0, 0.2772, 52.82
839.0, 0.2765, 52.90
840.0, 0.2763, 52.93
841.0, 0.2758, 52.99
842.0, 0.2753, 53.05
843.0, 0.2743, 53.17
844.0, 0.2743, 53.18
845.0, 0.2733, 53.30
846.0, 0.2734, 53.29
847.0, 0.2722, 53.43
848.0, 0.2724, 53.40
849.0, 0.2719, 53.47
850.0, 0.2718, 53.49
851.0, 0.2702, 53.68
852.0, 0.2699, 53.72
853.0, 0.2692, 53.80
854.0, 0.2691, 53.81
855.0, 0.2685, 53.89
856.0, 0.2681, 53.94
857.0, 0.2672, 54.05
858.0, 0.2668, 54.10
859.0, 0.2669, 54.09
860.0, 0.2661, 54.19
861.0, 0.2659, 54.21
862.0, 0.2657, 54.23
863.0, 0.2646, 54.38
864.0, 0.2644, 54.40
865.0, 0.2641, 54.44
866.0, 0.2635, 54.52
867.0, 0.2631, 54.56
868.0, 0.2630, 54.57
