Sample Name, Sample-9
Time, February 03 21:14:40 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
605.0, 0.9467, 11.31
606.0, 0.9502, 11.21
607.0, 0.9534, 11.13
608.0, 0.9592, 10.98
609.0, 0.9633, 10.88
610.0, 0.9667, 10.80
611.0, 0.9695, 10.73
612.0, 0.9728, 10.65
613.0, 0.9771, 10.54
614.0, 0.9811, 10.44
615.0, 0.9849, 10.35
616.0, 0.9884, 10.27
617.0, 0.9934, 10.15
618.0, 0.9973, 10.06
619.0, 0.9994, 10.01
620.0, 1.0033, 9.92
621.0, 1.0081, 9.82
622.0, 1.0115, 9.74
623.0, 1.0146, 9.67
624.0, 1.0198, 9.56
625.0, 1.0215, 9.52
626.0, 1.0277, 9.38
627.0, 1.0312, 9.31
628.0, 1.0323, 9.28
629.0, 1.0383, 9.15
630.0, 1.0394, 9.13
631.0, 1.0449, 9.02
632.0, 1.0494, 8.93
633.0, 1.0503, 8.91
634.0, 1.0554, 8.80
635.0, 1.0579, 8.75
636.0, 1.0627, 8.66
637.0, 1.0651, 8.61
638.0, 1.0680, 8.55
639.0, 1.0721, 8.47
640.0, 1.0745, 8.42
641.0, 1.0803, 8.31
642.0, 1.0788, 8.34
643.0, 1.0845, 8.23
644.0, 1.0863, 8.20
645.0, 1.0909, 8.11
646.0, 1.0939, 8.06
647.0, 1.0962, 8.01
648.0, 1.0999, 7.95
649.0, 1.1033, 7.88
650.0, 1.1062, 7.83
651.0, 1.1088, 7.78
652.0, 1.1120, 7.73
653.0, 1.1135, 7.70
654.0, 1.1176, 7.63
655.0, 1.1178, 7.62
656.0, 1.1220, 7.55
657.0, 1.1257, 7.49
658.0, 1.1277, 7.45
659.0, 1.1307, 7.40
660.0, 1.1339, 7.35
661.0, 1.1363, 7.31
662.0, 1.1398, 7.25
663.0, 1.1431, 7.19
664.0, 1.1431, 7.19
665.0, 1.1470, 7.13
666.0, 1.1514, 7.06
667.0, 1.1489, 7.10
668.0, 1.1529, 7.03
669.0, 1.1560, 6.98
670.0, 1.1564, 6.98
671.0, 1.1631, 6.87
672.0, 1.1612, 6.90
673.0, 1.1643, 6.85
674.0, 1.1659, 6.83
675.0, 1.1688, 6.78
676.0, 1.1715, 6.74
677.0, 1.1695, 6.77
678.0, 1.1765, 6.66
679.0, 1.1756, 6.67
680.0, 1.1801, 6.61
681.0, 1.1811, 6.59
682.0, 1.1841, 6.54
683.0, 1.1865, 6.51
684.0, 1.1869, 6.50
685.0, 1.1911, 6.44
686.0, 1.1905, 6.45
687.0, 1.1928, 6.42
688.0, 1.1941, 6.40
689.0, 1.1975, 6.35
690.0, 1.1971, 6.35
691.0, 1.1998, 6.31
692.0, 1.2031, 6.26
693.0, 1.2049, 6.24
694.0, 1.2055, 6.23
695.0, 1.2107, 6.16
696.0, 1.2080, 6.19
697.0, 1.2137, 6.11
698.0, 1.2122, 6.14
699.0, 1.2143, 6.11
700.0, 1.2152, 6.09
701.0, 1.2192, 6.04
702.0, 1.2175, 6.06
703.0, 1.2216, 6.00
704.0, 1.2240, 5.97
705.0, 1.2258, 5.95
706.0, 1.2273, 5.93
707.0, 1.2291, 5.90
708.0, 1.2310, 5.87
709.0, 1.2313, 5.87
710.0, 1.2332, 5.84
711.0, 1.2356, 5.81
712.0, 1.2361, 5.81
713.0, 1.2365, 5.80
714.0, 1.2379, 5.78
715.0, 1.2406, 5.75
716.0, 1.2405, 5.75
717.0, 1.2418, 5.73
718.0, 1.2431, 5.71
719.0, 1.2446, 5.69
720.0, 1.2455, 5.68
721.0, 1.2474, 5.66
722.0, 1.2478, 5.65
723.0, 1.2489, 5.64
724.0, 1.2516, 5.60
725.0, 1.2517, 5.60
726.0, 1.2525, 5.59
727.0, 1.2544, 5.57
728.0, 1.2545, 5.57
729.0, 1.2570, 5.53
730.0, 1.2564, 5.54
731.0, 1.2579, 5.52
732.0, 1.2591, 5.51
733.0, 1.2614, 5.48
734.0, 1.2604, 5.49
735.0, 1.2623, 5.47
736.0, 1.2631, 5.46
737.0, 1.2631, 5.46
738.0, 1.2643, 5.44
739.0, 1.2637, 5.45
740.0, 1.2640, 5.44
741.0, 1.2646, 5.44
742.0, 1.2643, 5.44
743.0, 1.2661, 5.42
744.0, 1.2654, 5.43
745.0, 1.2642, 5.44
746.0, 1.2655, 5.43
747.0, 1.2620, 5.47
748.0, 1.2654, 5.43
749.0, 1.2638, 5.45
750.0, 1.2635, 5.45
751.0, 1.2637, 5.45
752.0, 1.2625, 5.46
753.0, 1.2610, 5.48
754.0, 1.2611, 5.48
755.0, 1.2602, 5.49
756.0, 1.2608, 5.48
757.0, 1.2583, 5.52
758.0, 1.2585, 5.51
759.0, 1.2564, 5.54
760.0, 1.2563, 5.54
761.0, 1.2554, 5.55
762.0, 1.2515, 5.60
763.0, 1.2530, 5.58
764.0, 1.2511, 5.61
765.0, 1.2506, 5.62
766.0, 1.2480, 5.65
767.0, 1.2479, 5.65
768.0, 1.2471, 5.66
769.0, 1.2448, 5.69
770.0, 1.2406, 5.75
771.0, 1.2402, 5.75
772.0, 1.2407, 5.75
773.0, 1.2372, 5.79
774.0, 1.2356, 5.81
775.0, 1.2364, 5.80
776.0, 1.2331, 5.85
777.0, 1.2305, 5.88
778.0, 1.2296, 5.89
779.0, 1.2241, 5.97
780.0, 1.2265, 5.94
781.0, 1.2236, 5.98
782.0, 1.2207, 6.02
783.0, 1.2187, 6.04
784.0, 1.2142, 6.11
785.0, 1.2134, 6.12
786.0, 1.2115, 6.14
787.0, 1.2092, 6.18
788.0, 1.2059, 6.22
789.0, 1.2025, 6.27
790.0, 1.2009, 6.30
791.0, 1.1979, 6.34
792.0, 1.1939, 6.40
793.0, 1.1917, 6.43
794.0, 1.1899, 6.46
795.0, 1.1853, 6.53
796.0, 1.1851, 6.53
797.0, 1.1822, 6.57
798.0, 1.1773, 6.65
799.0, 1.1763, 6.66
800.0, 1.1710, 6.75
801.0, 1.1690, 6.78
802.0, 1.1657, 6.83
803.0, 1.1628, 6.87
804.0, 1.1605, 6.91
805.0, 1.1572, 6.96
806.0, 1.1539, 7.02
807.0, 1.1517, 7.05
808.0, 1.1479, 7.11
809.0, 1.1451, 7.16
810.0, 1.1420, 7.21
811.0, 1.1395, 7.25
812.0, 1.1368, 7.30
813.0, 1.1342, 7.34
814.0, 1.1313, 7.39
815.0, 1.1274, 7.46
816.0, 1.1250, 7.50
817.0, 1.1211, 7.57
818.0, 1.1180, 7.62
819.0, 1.1151, 7.67
820.0, 1.1134, 7.70
821.0, 1.1096, 7.77
822.0, 1.1068, 7.82
823.0, 1.1029, 7.89
824.0, 1.1001, 7.94
825.0, 1.0972, 7.99
826.0, 1.0956, 8.02
827.0, 1.0932, 8.07
828.0, 1.0909, 8.11
829.0, 1.0865, 8.19
830.0, 1.0854, 8.21
831.0, 1.0837, 8.25
832.0, 1.0792, 8.33
833.0, 1.0783, 8.35
834.0, 1.0749, 8.42
835.0, 1.0720, 8.47
836.0, 1.0690, 8.53
837.0, 1.0682, 8.55
838.0, 1.0637, 8.64
839.0, 1.0613, 8.68
840.0, 1.0584, 8.74
841.0, 1.0553, 8.80
842.0, 1.0538, 8.83
843.0, 1.0508, 8.90
844.0, 1.0469, 8.98
845.0, 1.0447, 9.02
846.0, 1.0427, 9.06
847.0, 1.0395, 9.13
848.0, 1.0362, 9.20
849.0, 1.0341, 9.25
850.0, 1.0312, 9.31
851.0, 1.0281, 9.37
852.0, 1.0245, 9.45
853.0, 1.0227, 9.49
854.0, 1.0197, 9.56
855.0, 1.0172, 9.61
856.0, 1.0140, 9.68
857.0, 1.0122, 9.72
858.0, 1.0099, 9.77
859.0, 1.0071, 9.84
860.0, 1.0060, 9.86
861.0, 1.0025, 9.94
862.0, 1.0008, 9.98
863.0, 0.9984, 10.04
864.0, 0.9949, 10.12
