Sample Name, Sample-5
Time, March 20 12:36:52 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.3701, 42.65
401.0, 0.3674, 42.92
402.0, 0.3654, 43.12
403.0, 0.3621, 43.44
404.0, 0.3590, 43.75
405.0, 0.3560, 44.06
406.0, 0.3534, 44.32
407.0, 0.3506, 44.61
408.0, 0.3473, 44.95
409.0, 0.3452, 45.17
410.0, 0.3421, 45.49
411.0, 0.3395, 45.76
412.0, 0.3369, 46.04
413.0, 0.3343, 46.31
414.0, 0.3318, 46.59
415.0, 0.3288, 46.91
416.0, 0.3274, 47.05
417.0, 0.3245, 47.37
418.0, 0.3218, 47.66
419.0, 0.3200, 47.86
420.0, 0.3184, 48.04
421.0, 0.3161, 48.29
422.0, 0.3142, 48.51
423.0, 0.3120, 48.75
424.0, 0.3106, 48.91
425.0, 0.3087, 49.13
426.0, 0.3066, 49.36
427.0, 0.3051, 49.53
428.0, 0.3038, 49.68
429.0, 0.3026, 49.82
430.0, 0.3011, 49.99
431.0, 0.2996, 50.16
432.0, 0.2983, 50.32
433.0, 0.2971, 50.46
434.0, 0.2955, 50.64
435.0, 0.2945, 50.76
436.0, 0.2938, 50.84
437.0, 0.2927, 50.97
438.0, 0.2918, 51.07
439.0, 0.2917, 51.09
440.0, 0.2905, 51.23
441.0, 0.2903, 51.25
442.0, 0.2892, 51.38
443.0, 0.2883, 51.49
444.0, 0.2880, 51.52
445.0, 0.2882, 51.50
446.0, 0.2868, 51.67
447.0, 0.2866, 51.69
448.0, 0.2867, 51.68
449.0, 0.2862, 51.74
450.0, 0.2863, 51.73
451.0, 0.2862, 51.74
452.0, 0.2859, 51.78
453.0, 0.2850, 51.89
454.0, 0.2853, 51.84
455.0, 0.2857, 51.80
456.0, 0.2856, 51.81
457.0, 0.2856, 51.81
458.0, 0.2858, 51.79
459.0, 0.2854, 51.84
460.0, 0.2861, 51.75
461.0, 0.2859, 51.77
462.0, 0.2863, 51.73
463.0, 0.2866, 51.68
464.0, 0.2865, 51.70
465.0, 0.2880, 51.52
466.0, 0.2875, 51.58
467.0, 0.2872, 51.62
468.0, 0.2871, 51.64
469.0, 0.2872, 51.62
470.0, 0.2893, 51.36
471.0, 0.2891, 51.39
472.0, 0.2889, 51.42
473.0, 0.2896, 51.34
474.0, 0.2898, 51.31
475.0, 0.2901, 51.27
476.0, 0.2909, 51.17
477.0, 0.2912, 51.14
478.0, 0.2919, 51.06
479.0, 0.2918, 51.08
480.0, 0.2925, 50.99
481.0, 0.2924, 51.00
482.0, 0.2931, 50.92
483.0, 0.2937, 50.85
484.0, 0.2945, 50.76
485.0, 0.2948, 50.72
486.0, 0.2955, 50.64
487.0, 0.2954, 50.65
488.0, 0.2967, 50.50
489.0, 0.2968, 50.49
490.0, 0.2974, 50.42
491.0, 0.2981, 50.34
492.0, 0.2988, 50.26
493.0, 0.2992, 50.22
494.0, 0.2997, 50.15
495.0, 0.3000, 50.12
496.0, 0.3008, 50.02
497.0, 0.3009, 50.01
498.0, 0.3019, 49.90
499.0, 0.3022, 49.86
500.0, 0.3035, 49.72
501.0, 0.3036, 49.70
502.0, 0.3042, 49.64
503.0, 0.3041, 49.65
504.0, 0.3052, 49.52
505.0, 0.3054, 49.50
506.0, 0.3064, 49.39
507.0, 0.3072, 49.29
508.0, 0.3073, 49.28
509.0, 0.3083, 49.17
510.0, 0.3096, 49.02
511.0, 0.3097, 49.01
512.0, 0.3107, 48.90
513.0, 0.3114, 48.82
514.0, 0.3120, 48.75
515.0, 0.3128, 48.66
516.0, 0.3134, 48.60
517.0, 0.3146, 48.46
518.0, 0.3149, 48.42
519.0, 0.3158, 48.33
520.0, 0.3166, 48.24
521.0, 0.3170, 48.19
522.0, 0.3181, 48.08
523.0, 0.3191, 47.96
524.0, 0.3198, 47.88
525.0, 0.3206, 47.80
526.0, 0.3217, 47.68
527.0, 0.3222, 47.62
528.0, 0.3233, 47.50
529.0, 0.3245, 47.37
530.0, 0.3258, 47.23
531.0, 0.3266, 47.14
532.0, 0.3277, 47.02
533.0, 0.3289, 46.89
534.0, 0.3295, 46.83
535.0, 0.3311, 46.66
536.0, 0.3320, 46.55
537.0, 0.3328, 46.47
538.0, 0.3343, 46.31
539.0, 0.3354, 46.20
540.0, 0.3367, 46.06
541.0, 0.3380, 45.92
542.0, 0.3393, 45.78
543.0, 0.3403, 45.68
544.0, 0.3420, 45.50
545.0, 0.3417, 45.53
546.0, 0.3430, 45.40
547.0, 0.3450, 45.19
548.0, 0.3472, 44.95
549.0, 0.3486, 44.81
550.0, 0.3498, 44.68
551.0, 0.3515, 44.52
552.0, 0.3530, 44.36
553.0, 0.3546, 44.20
554.0, 0.3561, 44.04
555.0, 0.3577, 43.89
556.0, 0.3590, 43.76
557.0, 0.3606, 43.60
558.0, 0.3617, 43.48
559.0, 0.3638, 43.27
560.0, 0.3654, 43.11
561.0, 0.3667, 42.98
562.0, 0.3685, 42.81
563.0, 0.3703, 42.63
564.0, 0.3722, 42.44
565.0, 0.3735, 42.32
566.0, 0.3749, 42.18
567.0, 0.3771, 41.97
568.0, 0.3788, 41.80
569.0, 0.3805, 41.64
570.0, 0.3825, 41.44
571.0, 0.3842, 41.28
572.0, 0.3862, 41.10
573.0, 0.3874, 40.98
574.0, 0.3891, 40.83
575.0, 0.3913, 40.62
576.0, 0.3935, 40.41
577.0, 0.3950, 40.27
578.0, 0.3974, 40.05
579.0, 0.3987, 39.93
580.0, 0.4006, 39.76
581.0, 0.4025, 39.58
582.0, 0.4050, 39.36
583.0, 0.4068, 39.19
584.0, 0.4088, 39.01
585.0, 0.4108, 38.84
586.0, 0.4118, 38.74
587.0, 0.4142, 38.53
588.0, 0.4161, 38.36
589.0, 0.4173, 38.26
590.0, 0.4200, 38.02
591.0, 0.4223, 37.82
592.0, 0.4240, 37.67
593.0, 0.4256, 37.53
594.0, 0.4277, 37.35
595.0, 0.4299, 37.16
596.0, 0.4316, 37.02
597.0, 0.4333, 36.88
598.0, 0.4357, 36.67
599.0, 0.4371, 36.55
600.0, 0.4398, 36.33
601.0, 0.4413, 36.20
602.0, 0.4433, 36.03
603.0, 0.4449, 35.90
604.0, 0.4473, 35.70
605.0, 0.4495, 35.52
606.0, 0.4504, 35.45
607.0, 0.4529, 35.24
608.0, 0.4542, 35.14
609.0, 0.4565, 34.96
610.0, 0.4586, 34.78
611.0, 0.4600, 34.68
612.0, 0.4617, 34.54
613.0, 0.4635, 34.39
614.0, 0.4653, 34.26
615.0, 0.4673, 34.10
616.0, 0.4697, 33.91
617.0, 0.4706, 33.84
618.0, 0.4721, 33.72
619.0, 0.4746, 33.53
620.0, 0.4759, 33.43
621.0, 0.4777, 33.29
622.0, 0.4794, 33.16
623.0, 0.4818, 32.98
624.0, 0.4829, 32.90
625.0, 0.4853, 32.71
626.0, 0.4861, 32.65
627.0, 0.4875, 32.55
628.0, 0.4901, 32.35
629.0, 0.4907, 32.31
630.0, 0.4932, 32.12
631.0, 0.4946, 32.02
632.0, 0.4963, 31.89
633.0, 0.4977, 31.79
634.0, 0.4987, 31.72
635.0, 0.5009, 31.56
636.0, 0.5012, 31.54
637.0, 0.5029, 31.41
638.0, 0.5049, 31.27
639.0, 0.5064, 31.16
640.0, 0.5073, 31.09
641.0, 0.5086, 31.01
642.0, 0.5105, 30.87
643.0, 0.5121, 30.75
644.0, 0.5130, 30.69
645.0, 0.5142, 30.60
646.0, 0.5158, 30.50
647.0, 0.5174, 30.38
648.0, 0.5181, 30.33
649.0, 0.5199, 30.21
650.0, 0.5213, 30.11
651.0, 0.5222, 30.05
652.0, 0.5237, 29.95
653.0, 0.5249, 29.86
654.0, 0.5257, 29.80
655.0, 0.5272, 29.70
656.0, 0.5284, 29.62
657.0, 0.5289, 29.59
658.0, 0.5301, 29.50
659.0, 0.5321, 29.37
660.0, 0.5325, 29.34
661.0, 0.5343, 29.22
662.0, 0.5359, 29.12
663.0, 0.5368, 29.06
664.0, 0.5372, 29.03
665.0, 0.5379, 28.98
666.0, 0.5392, 28.90
667.0, 0.5399, 28.85
668.0, 0.5409, 28.78
669.0, 0.5423, 28.69
670.0, 0.5432, 28.63
671.0, 0.5436, 28.60
672.0, 0.5452, 28.50
673.0, 0.5459, 28.45
674.0, 0.5466, 28.40
675.0, 0.5475, 28.35
676.0, 0.5477, 28.33
677.0, 0.5505, 28.15
678.0, 0.5509, 28.12
679.0, 0.5509, 28.12
680.0, 0.5526, 28.02
681.0, 0.5535, 27.96
682.0, 0.5542, 27.91
683.0, 0.5548, 27.88
684.0, 0.5555, 27.83
685.0, 0.5569, 27.74
686.0, 0.5568, 27.75
687.0, 0.5581, 27.67
688.0, 0.5587, 27.63
689.0, 0.5598, 27.56
690.0, 0.5605, 27.51
691.0, 0.5618, 27.43
692.0, 0.5617, 27.43
693.0, 0.5623, 27.40
694.0, 0.5641, 27.28
695.0, 0.5646, 27.25
696.0, 0.5654, 27.20
697.0, 0.5648, 27.24
698.0, 0.5664, 27.14
699.0, 0.5664, 27.14
700.0, 0.5670, 27.10
701.0, 0.5687, 26.99
702.0, 0.5686, 27.00
703.0, 0.5691, 26.97
704.0, 0.5704, 26.89
705.0, 0.5712, 26.84
706.0, 0.5719, 26.80
707.0, 0.5722, 26.78
708.0, 0.5735, 26.70
709.0, 0.5748, 26.62
710.0, 0.5745, 26.64
711.0, 0.5747, 26.62
712.0, 0.5751, 26.60
713.0, 0.5756, 26.57
714.0, 0.5764, 26.52
715.0, 0.5764, 26.52
716.0, 0.5774, 26.46
717.0, 0.5773, 26.47
718.0, 0.5780, 26.43
719.0, 0.5782, 26.41
720.0, 0.5790, 26.36
721.0, 0.5791, 26.36
722.0, 0.5799, 26.31
723.0, 0.5804, 26.28
724.0, 0.5804, 26.28
725.0, 0.5809, 26.25
726.0, 0.5810, 26.24
727.0, 0.5816, 26.21
728.0, 0.5824, 26.16
729.0, 0.5826, 26.14
730.0, 0.5828, 26.13
731.0, 0.5829, 26.13
732.0, 0.5830, 26.12
733.0, 0.5833, 26.10
734.0, 0.5833, 26.10
735.0, 0.5836, 26.08
736.0, 0.5841, 26.06
737.0, 0.5837, 26.08
738.0, 0.5841, 26.06
739.0, 0.5840, 26.06
740.0, 0.5843, 26.04
741.0, 0.5843, 26.05
742.0, 0.5841, 26.06
743.0, 0.5842, 26.05
744.0, 0.5843, 26.04
745.0, 0.5843, 26.04
746.0, 0.5838, 26.07
747.0, 0.5842, 26.05
748.0, 0.5839, 26.07
749.0, 0.5838, 26.07
750.0, 0.5838, 26.07
751.0, 0.5842, 26.05
752.0, 0.5838, 26.07
753.0, 0.5838, 26.07
754.0, 0.5832, 26.11
755.0, 0.5819, 26.19
756.0, 0.5822, 26.17
757.0, 0.5822, 26.17
758.0, 0.5821, 26.18
759.0, 0.5819, 26.19
760.0, 0.5812, 26.23
