Sample Name, Sample-6
Time, March 20 12:40:06 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.5293, 29.56
401.0, 0.5256, 29.81
402.0, 0.5215, 30.10
403.0, 0.5184, 30.31
404.0, 0.5140, 30.62
405.0, 0.5103, 30.88
406.0, 0.5056, 31.22
407.0, 0.5027, 31.42
408.0, 0.4994, 31.67
409.0, 0.4955, 31.95
410.0, 0.4911, 32.28
411.0, 0.4882, 32.49
412.0, 0.4853, 32.71
413.0, 0.4817, 32.98
414.0, 0.4778, 33.28
415.0, 0.4740, 33.57
416.0, 0.4719, 33.74
417.0, 0.4683, 34.01
418.0, 0.4654, 34.25
419.0, 0.4617, 34.53
420.0, 0.4598, 34.69
421.0, 0.4573, 34.89
422.0, 0.4547, 35.10
423.0, 0.4519, 35.32
424.0, 0.4494, 35.53
425.0, 0.4468, 35.75
426.0, 0.4442, 35.96
427.0, 0.4426, 36.09
428.0, 0.4408, 36.24
429.0, 0.4390, 36.39
430.0, 0.4366, 36.59
431.0, 0.4354, 36.70
432.0, 0.4336, 36.85
433.0, 0.4323, 36.95
434.0, 0.4307, 37.10
435.0, 0.4296, 37.19
436.0, 0.4285, 37.28
437.0, 0.4276, 37.36
438.0, 0.4264, 37.46
439.0, 0.4258, 37.52
440.0, 0.4240, 37.67
441.0, 0.4236, 37.71
442.0, 0.4231, 37.75
443.0, 0.4224, 37.81
444.0, 0.4215, 37.89
445.0, 0.4205, 37.97
446.0, 0.4209, 37.94
447.0, 0.4208, 37.95
448.0, 0.4205, 37.98
449.0, 0.4196, 38.05
450.0, 0.4202, 38.00
451.0, 0.4197, 38.04
452.0, 0.4197, 38.05
453.0, 0.4191, 38.10
454.0, 0.4188, 38.13
455.0, 0.4200, 38.02
456.0, 0.4205, 37.98
457.0, 0.4198, 38.04
458.0, 0.4201, 38.01
459.0, 0.4205, 37.98
460.0, 0.4210, 37.93
461.0, 0.4211, 37.93
462.0, 0.4220, 37.84
463.0, 0.4225, 37.80
464.0, 0.4223, 37.82
465.0, 0.4245, 37.62
466.0, 0.4245, 37.63
467.0, 0.4249, 37.60
468.0, 0.4248, 37.60
469.0, 0.4246, 37.62
470.0, 0.4261, 37.49
471.0, 0.4271, 37.40
472.0, 0.4279, 37.33
473.0, 0.4283, 37.30
474.0, 0.4284, 37.29
475.0, 0.4290, 37.24
476.0, 0.4302, 37.14
477.0, 0.4306, 37.10
478.0, 0.4314, 37.03
479.0, 0.4318, 37.00
480.0, 0.4322, 36.97
481.0, 0.4338, 36.83
482.0, 0.4346, 36.76
483.0, 0.4353, 36.71
484.0, 0.4364, 36.61
485.0, 0.4374, 36.53
486.0, 0.4381, 36.47
487.0, 0.4383, 36.45
488.0, 0.4399, 36.32
489.0, 0.4406, 36.25
490.0, 0.4425, 36.10
491.0, 0.4423, 36.11
492.0, 0.4439, 35.98
493.0, 0.4450, 35.89
494.0, 0.4450, 35.89
495.0, 0.4465, 35.77
496.0, 0.4468, 35.75
497.0, 0.4479, 35.66
498.0, 0.4499, 35.49
499.0, 0.4493, 35.53
500.0, 0.4513, 35.38
501.0, 0.4521, 35.31
502.0, 0.4528, 35.25
503.0, 0.4534, 35.21
504.0, 0.4550, 35.08
505.0, 0.4559, 35.00
506.0, 0.4566, 34.94
507.0, 0.4580, 34.83
508.0, 0.4595, 34.71
509.0, 0.4602, 34.66
510.0, 0.4618, 34.53
511.0, 0.4625, 34.48
512.0, 0.4636, 34.39
513.0, 0.4642, 34.34
514.0, 0.4661, 34.19
515.0, 0.4674, 34.09
516.0, 0.4685, 34.00
517.0, 0.4697, 33.90
518.0, 0.4709, 33.81
519.0, 0.4719, 33.74
520.0, 0.4730, 33.65
521.0, 0.4748, 33.51
522.0, 0.4768, 33.36
523.0, 0.4776, 33.30
524.0, 0.4790, 33.19
525.0, 0.4803, 33.09
526.0, 0.4825, 32.92
527.0, 0.4839, 32.82
528.0, 0.4857, 32.68
529.0, 0.4868, 32.60
530.0, 0.4886, 32.46
531.0, 0.4905, 32.32
532.0, 0.4920, 32.21
533.0, 0.4933, 32.11
534.0, 0.4957, 31.94
535.0, 0.4972, 31.83
536.0, 0.4994, 31.67
537.0, 0.5007, 31.58
538.0, 0.5021, 31.47
539.0, 0.5047, 31.28
540.0, 0.5063, 31.17
541.0, 0.5083, 31.02
542.0, 0.5104, 30.87
543.0, 0.5122, 30.75
544.0, 0.5145, 30.59
545.0, 0.5162, 30.47
546.0, 0.5185, 30.31
547.0, 0.5204, 30.17
548.0, 0.5225, 30.02
549.0, 0.5245, 29.89
550.0, 0.5261, 29.78
551.0, 0.5284, 29.62
552.0, 0.5312, 29.43
553.0, 0.5334, 29.28
554.0, 0.5353, 29.15
555.0, 0.5383, 28.95
556.0, 0.5402, 28.82
557.0, 0.5432, 28.63
558.0, 0.5450, 28.51
559.0, 0.5477, 28.33
560.0, 0.5506, 28.14
561.0, 0.5531, 27.99
562.0, 0.5554, 27.83
563.0, 0.5583, 27.65
564.0, 0.5604, 27.52
565.0, 0.5627, 27.37
566.0, 0.5653, 27.21
567.0, 0.5680, 27.04
568.0, 0.5709, 26.86
569.0, 0.5736, 26.70
570.0, 0.5762, 26.53
571.0, 0.5787, 26.38
572.0, 0.5817, 26.20
573.0, 0.5845, 26.03
574.0, 0.5864, 25.92
575.0, 0.5892, 25.75
576.0, 0.5926, 25.55
577.0, 0.5956, 25.38
578.0, 0.5979, 25.24
579.0, 0.6007, 25.08
580.0, 0.6033, 24.93
581.0, 0.6069, 24.72
582.0, 0.6103, 24.53
583.0, 0.6129, 24.38
584.0, 0.6151, 24.26
585.0, 0.6174, 24.13
586.0, 0.6214, 23.91
587.0, 0.6241, 23.76
588.0, 0.6267, 23.62
589.0, 0.6294, 23.48
590.0, 0.6326, 23.30
591.0, 0.6350, 23.18
592.0, 0.6380, 23.01
593.0, 0.6415, 22.83
594.0, 0.6442, 22.69
595.0, 0.6462, 22.58
596.0, 0.6499, 22.39
597.0, 0.6517, 22.30
598.0, 0.6559, 22.08
599.0, 0.6581, 21.97
600.0, 0.6608, 21.84
601.0, 0.6634, 21.70
602.0, 0.6665, 21.55
603.0, 0.6698, 21.39
604.0, 0.6734, 21.21
605.0, 0.6760, 21.08
606.0, 0.6786, 20.96
607.0, 0.6806, 20.87
608.0, 0.6835, 20.72
609.0, 0.6858, 20.61
610.0, 0.6896, 20.44
611.0, 0.6924, 20.31
612.0, 0.6961, 20.13
613.0, 0.6975, 20.07
614.0, 0.6998, 19.96
615.0, 0.7037, 19.78
616.0, 0.7060, 19.68
617.0, 0.7081, 19.59
618.0, 0.7111, 19.45
619.0, 0.7143, 19.31
620.0, 0.7166, 19.20
621.0, 0.7198, 19.06
622.0, 0.7213, 19.00
623.0, 0.7242, 18.87
624.0, 0.7269, 18.76
625.0, 0.7298, 18.63
626.0, 0.7323, 18.52
627.0, 0.7341, 18.45
628.0, 0.7374, 18.31
629.0, 0.7394, 18.22
630.0, 0.7422, 18.10
631.0, 0.7446, 18.00
632.0, 0.7453, 17.98
633.0, 0.7482, 17.86
634.0, 0.7519, 17.71
635.0, 0.7527, 17.67
636.0, 0.7550, 17.58
637.0, 0.7583, 17.45
638.0, 0.7606, 17.35
639.0, 0.7612, 17.33
640.0, 0.7636, 17.24
641.0, 0.7666, 17.12
642.0, 0.7691, 17.02
643.0, 0.7716, 16.92
644.0, 0.7729, 16.87
645.0, 0.7745, 16.81
646.0, 0.7759, 16.75
647.0, 0.7796, 16.61
648.0, 0.7812, 16.55
649.0, 0.7831, 16.48
650.0, 0.7850, 16.40
651.0, 0.7870, 16.33
652.0, 0.7893, 16.24
653.0, 0.7900, 16.22
654.0, 0.7914, 16.17
655.0, 0.7939, 16.07
656.0, 0.7956, 16.01
657.0, 0.7973, 15.95
658.0, 0.7998, 15.86
659.0, 0.8001, 15.84
660.0, 0.8016, 15.79
661.0, 0.8027, 15.75
662.0, 0.8053, 15.66
663.0, 0.8065, 15.61
664.0, 0.8082, 15.55
665.0, 0.8090, 15.53
666.0, 0.8126, 15.40
667.0, 0.8135, 15.37
668.0, 0.8147, 15.32
669.0, 0.8151, 15.31
670.0, 0.8167, 15.25
671.0, 0.8179, 15.21
672.0, 0.8204, 15.12
673.0, 0.8222, 15.06
674.0, 0.8238, 15.00
675.0, 0.8231, 15.03
676.0, 0.8254, 14.95
677.0, 0.8276, 14.87
678.0, 0.8275, 14.88
679.0, 0.8299, 14.80
680.0, 0.8305, 14.77
681.0, 0.8308, 14.76
682.0, 0.8328, 14.70
683.0, 0.8356, 14.60
684.0, 0.8363, 14.58
685.0, 0.8380, 14.52
686.0, 0.8393, 14.48
687.0, 0.8382, 14.51
688.0, 0.8410, 14.42
689.0, 0.8424, 14.38
690.0, 0.8439, 14.32
691.0, 0.8435, 14.34
692.0, 0.8438, 14.33
693.0, 0.8469, 14.23
694.0, 0.8477, 14.20
695.0, 0.8479, 14.19
696.0, 0.8509, 14.10
697.0, 0.8515, 14.08
698.0, 0.8529, 14.03
699.0, 0.8531, 14.03
700.0, 0.8558, 13.94
701.0, 0.8554, 13.95
702.0, 0.8559, 13.94
703.0, 0.8568, 13.91
704.0, 0.8574, 13.89
705.0, 0.8598, 13.81
706.0, 0.8595, 13.82
707.0, 0.8608, 13.78
708.0, 0.8633, 13.70
709.0, 0.8641, 13.68
710.0, 0.8643, 13.67
711.0, 0.8643, 13.67
712.0, 0.8646, 13.66
713.0, 0.8655, 13.63
714.0, 0.8666, 13.60
715.0, 0.8673, 13.57
716.0, 0.8687, 13.53
717.0, 0.8692, 13.51
718.0, 0.8701, 13.49
719.0, 0.8704, 13.48
720.0, 0.8721, 13.42
721.0, 0.8717, 13.44
722.0, 0.8724, 13.42
723.0, 0.8722, 13.42
724.0, 0.8727, 13.40
725.0, 0.8736, 13.38
726.0, 0.8738, 13.37
727.0, 0.8741, 13.36
728.0, 0.8745, 13.35
729.0, 0.8744, 13.35
730.0, 0.8756, 13.32
731.0, 0.8748, 13.34
732.0, 0.8765, 13.29
733.0, 0.8772, 13.27
734.0, 0.8767, 13.28
735.0, 0.8772, 13.27
736.0, 0.8782, 13.24
737.0, 0.8786, 13.22
738.0, 0.8783, 13.23
739.0, 0.8783, 13.24
740.0, 0.8785, 13.23
741.0, 0.8795, 13.20
742.0, 0.8778, 13.25
743.0, 0.8783, 13.23
744.0, 0.8779, 13.25
745.0, 0.8786, 13.23
746.0, 0.8790, 13.21
747.0, 0.8790, 13.21
748.0, 0.8774, 13.26
749.0, 0.8769, 13.28
750.0, 0.8777, 13.25
751.0, 0.8782, 13.24
752.0, 0.8780, 13.24
753.0, 0.8776, 13.25
754.0, 0.8756, 13.32
755.0, 0.8766, 13.29
756.0, 0.8766, 13.29
757.0, 0.8752, 13.33
758.0, 0.8757, 13.31
759.0, 0.8744, 13.35
760.0, 0.8750, 13.34
761.0, 0.8731, 13.40
762.0, 0.8721, 13.42
763.0, 0.8731, 13.39
764.0, 0.8708, 13.47
765.0, 0.8699, 13.49
766.0, 0.8698, 13.50
767.0, 0.8693, 13.51
768.0, 0.8685, 13.54
769.0, 0.8665, 13.60
770.0, 0.8660, 13.61
771.0, 0.8659, 13.62
772.0, 0.8636, 13.69
773.0, 0.8632, 13.70
774.0, 0.8624, 13.73
775.0, 0.8609, 13.78
776.0, 0.8600, 13.81
777.0, 0.8583, 13.86
778.0, 0.8572, 13.89
779.0, 0.8558, 13.94
780.0, 0.8536, 14.01
781.0, 0.8523, 14.05
782.0, 0.8522, 14.05
783.0, 0.8509, 14.10
784.0, 0.8493, 14.15
785.0, 0.8471, 14.22
786.0, 0.8464, 14.24
787.0, 0.8435, 14.34
788.0, 0.8415, 14.40
789.0, 0.8400, 14.45
790.0, 0.8393, 14.48
791.0, 0.8378, 14.53
792.0, 0.8359, 14.59
793.0, 0.8350, 14.62
794.0, 0.8327, 14.70
795.0, 0.8298, 14.80
796.0, 0.8292, 14.82
797.0, 0.8280, 14.86
798.0, 0.8254, 14.95
799.0, 0.8236, 15.01
800.0, 0.8214, 15.09
801.0, 0.8207, 15.11
802.0, 0.8195, 15.15
803.0, 0.8177, 15.22
804.0, 0.8157, 15.29
805.0, 0.8137, 15.36
806.0, 0.8121, 15.41
807.0, 0.8105, 15.47
808.0, 0.8071, 15.59
809.0, 0.8053, 15.66
810.0, 0.8043, 15.69
811.0, 0.8019, 15.78
812.0, 0.8002, 15.84
813.0, 0.7983, 15.91
814.0, 0.7965, 15.98
815.0, 0.7937, 16.08
816.0, 0.7909, 16.18
817.0, 0.7900, 16.22
818.0, 0.7878, 16.30
819.0, 0.7853, 16.39
820.0, 0.7831, 16.48
821.0, 0.7821, 16.52
822.0, 0.7791, 16.63
823.0, 0.7774, 16.70
824.0, 0.7756, 16.77
825.0, 0.7728, 16.87
826.0, 0.7712, 16.94
827.0, 0.7681, 17.06
828.0, 0.7673, 17.09
829.0, 0.7646, 17.19
830.0, 0.7622, 17.29
831.0, 0.7603, 17.37
832.0, 0.7580, 17.46
833.0, 0.7564, 17.52
834.0, 0.7533, 17.65
835.0, 0.7517, 17.71
836.0, 0.7500, 17.78
837.0, 0.7476, 17.88
838.0, 0.7457, 17.96
839.0, 0.7445, 18.01
840.0, 0.7416, 18.13
841.0, 0.7392, 18.23
842.0, 0.7380, 18.28
843.0, 0.7354, 18.39
844.0, 0.7340, 18.45
845.0, 0.7321, 18.53
846.0, 0.7299, 18.63
847.0, 0.7285, 18.68
848.0, 0.7263, 18.78
849.0, 0.7243, 18.87
850.0, 0.7231, 18.92
851.0, 0.7198, 19.06
852.0, 0.7183, 19.13
853.0, 0.7167, 19.20
854.0, 0.7149, 19.28
855.0, 0.7117, 19.42
856.0, 0.7110, 19.45
857.0, 0.7084, 19.57
858.0, 0.7082, 19.58
859.0, 0.7060, 19.68
860.0, 0.7042, 19.76
861.0, 0.7026, 19.83
862.0, 0.7012, 19.90
863.0, 0.6996, 19.97
864.0, 0.6974, 20.07
865.0, 0.6967, 20.11
866.0, 0.6950, 20.18
867.0, 0.6927, 20.29
868.0, 0.6913, 20.36
869.0, 0.6896, 20.43
870.0, 0.6876, 20.53
871.0, 0.6860, 20.61
872.0, 0.6853, 20.64
873.0, 0.6838, 20.71
874.0, 0.6823, 20.78
875.0, 0.6809, 20.85
876.0, 0.6791, 20.94
877.0, 0.6777, 21.00
878.0, 0.6762, 21.08
879.0, 0.6749, 21.14
880.0, 0.6733, 21.22
881.0, 0.6712, 21.32
882.0, 0.6706, 21.35
883.0, 0.6693, 21.42
884.0, 0.6676, 21.50
885.0, 0.6674, 21.51
886.0, 0.6659, 21.58
887.0, 0.6635, 21.70
888.0, 0.6631, 21.72
889.0, 0.6614, 21.81
890.0, 0.6606, 21.85
891.0, 0.6594, 21.91
892.0, 0.6580, 21.98
893.0, 0.6570, 22.03
894.0, 0.6563, 22.06
895.0, 0.6549, 22.14
896.0, 0.6522, 22.27
897.0, 0.6522, 22.27
898.0, 0.6510, 22.34
899.0, 0.6496, 22.41
900.0, 0.6487, 22.46
901.0, 0.6474, 22.52
902.0, 0.6464, 22.57
903.0, 0.6464, 22.57
904.0, 0.6442, 22.69
905.0, 0.6430, 22.75
906.0, 0.6420, 22.80
907.0, 0.6411, 22.85
908.0, 0.6404, 22.89
909.0, 0.6389, 22.97
910.0, 0.6384, 22.99
911.0, 0.6368, 23.08
912.0, 0.6363, 23.11
913.0, 0.6347, 23.19
914.0, 0.6341, 23.22
915.0, 0.6330, 23.28
916.0, 0.6311, 23.38
917.0, 0.6310, 23.39
918.0, 0.6309, 23.40
919.0, 0.6293, 23.48
920.0, 0.6279, 23.55
921.0, 0.6276, 23.57
922.0, 0.6262, 23.65
923.0, 0.6253, 23.69
924.0, 0.6246, 23.74
925.0, 0.6235, 23.80
926.0, 0.6225, 23.85
927.0, 0.6218, 23.89
928.0, 0.6207, 23.95
929.0, 0.6194, 24.02
930.0, 0.6190, 24.04
931.0, 0.6181, 24.09
932.0, 0.6169, 24.16
933.0, 0.6162, 24.20
934.0, 0.6152, 24.25
935.0, 0.6143, 24.31
936.0, 0.6138, 24.33
937.0, 0.6121, 24.43
938.0, 0.6121, 24.43
939.0, 0.6108, 24.50
940.0, 0.6105, 24.52
941.0, 0.6082, 24.65
942.0, 0.6073, 24.70
943.0, 0.6065, 24.74
944.0, 0.6061, 24.77
945.0, 0.6051, 24.83
946.0, 0.6039, 24.89
947.0, 0.6033, 24.93
948.0, 0.6027, 24.96
949.0, 0.6017, 25.02
950.0, 0.6008, 25.07
951.0, 0.5992, 25.17
952.0, 0.5983, 25.22
953.0, 0.5971, 25.29
954.0, 0.5964, 25.33
955.0, 0.5961, 25.35
956.0, 0.5951, 25.40
957.0, 0.5945, 25.44
958.0, 0.5929, 25.53
959.0, 0.5913, 25.62
960.0, 0.5910, 25.64
961.0, 0.5901, 25.70
962.0, 0.5893, 25.75
963.0, 0.5881, 25.82
964.0, 0.5882, 25.81
965.0, 0.5874, 25.86
966.0, 0.5864, 25.92
967.0, 0.5854, 25.98
968.0, 0.5854, 25.98
969.0, 0.5841, 26.06
970.0, 0.5837, 26.08
971.0, 0.5833, 26.11
972.0, 0.5829, 26.13
973.0, 0.5828, 26.14
974.0, 0.5825, 26.15
975.0, 0.5804, 26.28
976.0, 0.5797, 26.32
977.0, 0.5784, 26.40
978.0, 0.5773, 26.47
979.0, 0.5762, 26.53
980.0, 0.5771, 26.48
981.0, 0.5755, 26.58
982.0, 0.5748, 26.62
983.0, 0.5745, 26.64
984.0, 0.5739, 26.67
985.0, 0.5742, 26.66
986.0, 0.5718, 26.80
987.0, 0.5713, 26.84
988.0, 0.5706, 26.88
989.0, 0.5704, 26.89
990.0, 0.5692, 26.97
991.0, 0.5691, 26.97
992.0, 0.5685, 27.01
993.0, 0.5672, 27.09
994.0, 0.5668, 27.12
995.0, 0.5667, 27.12
996.0, 0.5660, 27.17
997.0, 0.5655, 27.20
998.0, 0.5648, 27.24
999.0, 0.5646, 27.25
1000.0, 0.5622, 27.40
1001.0, 0.5610, 27.48
1002.0, 0.5611, 27.47
1003.0, 0.5602, 27.53
1004.0, 0.5597, 27.56
1005.0, 0.5596, 27.57
1006.0, 0.5590, 27.61
1007.0, 0.5580, 27.67
1008.0, 0.5568, 27.75
1009.0, 0.5566, 27.76
1010.0, 0.5564, 27.77
1011.0, 0.5557, 27.81
1012.0, 0.5551, 27.86
1013.0, 0.5554, 27.84
1014.0, 0.5540, 27.92
1015.0, 0.5529, 27.99
1016.0, 0.5517, 28.08
1017.0, 0.5499, 28.19
1018.0, 0.5494, 28.22
1019.0, 0.5489, 28.25
1020.0, 0.5482, 28.30
1021.0, 0.5480, 28.31
1022.0, 0.5471, 28.37
1023.0, 0.5461, 28.44
1024.0, 0.5454, 28.48
1025.0, 0.5448, 28.53
1026.0, 0.5443, 28.56
1027.0, 0.5452, 28.50
1028.0, 0.5442, 28.56
1029.0, 0.5425, 28.68
1030.0, 0.5421, 28.70
1031.0, 0.5411, 28.76
1032.0, 0.5413, 28.76
1033.0, 0.5400, 28.84
1034.0, 0.5398, 28.85
1035.0, 0.5394, 28.88
1036.0, 0.5389, 28.92
1037.0, 0.5376, 29.00
1038.0, 0.5356, 29.14
1039.0, 0.5351, 29.17
1040.0, 0.5346, 29.20
1041.0, 0.5346, 29.20
1042.0, 0.5342, 29.23
1043.0, 0.5340, 29.24
1044.0, 0.5335, 29.27
1045.0, 0.5308, 29.46
1046.0, 0.5304, 29.49
1047.0, 0.5294, 29.55
1048.0, 0.5295, 29.55
1049.0, 0.5289, 29.59
1050.0, 0.5292, 29.57
1051.0, 0.5283, 29.62
1052.0, 0.5282, 29.63
1053.0, 0.5266, 29.74
1054.0, 0.5246, 29.88
1055.0, 0.5241, 29.91
1056.0, 0.5249, 29.86
1057.0, 0.5242, 29.91
1058.0, 0.5235, 29.96
1059.0, 0.5221, 30.05
1060.0, 0.5231, 29.99
1061.0, 0.5201, 30.19
1062.0, 0.5206, 30.15
1063.0, 0.5199, 30.20
1064.0, 0.5189, 30.28
1065.0, 0.5175, 30.38
1066.0, 0.5164, 30.45
1067.0, 0.5167, 30.43
1068.0, 0.5169, 30.41
1069.0, 0.5170, 30.41
1070.0, 0.5143, 30.60
1071.0, 0.5133, 30.67
1072.0, 0.5128, 30.70
1073.0, 0.5133, 30.67
1074.0, 0.5136, 30.65
1075.0, 0.5121, 30.75
1076.0, 0.5106, 30.86
1077.0, 0.5096, 30.93
1078.0, 0.5080, 31.05
1079.0, 0.5077, 31.07
1080.0, 0.5076, 31.08
1081.0, 0.5082, 31.03
1082.0, 0.5062, 31.17
1083.0, 0.5070, 31.12
1084.0, 0.5024, 31.45
1085.0, 0.5043, 31.31
1086.0, 0.5025, 31.44
1087.0, 0.5019, 31.48
