Sample Name, Sample-10
Time, March 20 12:54:08 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.1624, 68.81
401.0, 0.1613, 68.98
402.0, 0.1590, 69.34
403.0, 0.1568, 69.69
404.0, 0.1549, 70.00
405.0, 0.1528, 70.34
406.0, 0.1512, 70.60
407.0, 0.1490, 70.96
408.0, 0.1468, 71.33
409.0, 0.1448, 71.64
410.0, 0.1426, 72.01
411.0, 0.1407, 72.33
412.0, 0.1384, 72.71
413.0, 0.1366, 73.01
414.0, 0.1346, 73.36
415.0, 0.1326, 73.69
416.0, 0.1305, 74.05
417.0, 0.1284, 74.40
418.0, 0.1263, 74.77
419.0, 0.1240, 75.17
420.0, 0.1226, 75.41
421.0, 0.1205, 75.78
422.0, 0.1187, 76.08
423.0, 0.1168, 76.41
424.0, 0.1151, 76.72
425.0, 0.1132, 77.05
426.0, 0.1113, 77.39
427.0, 0.1099, 77.65
428.0, 0.1086, 77.88
429.0, 0.1068, 78.21
430.0, 0.1053, 78.48
431.0, 0.1036, 78.77
432.0, 0.1024, 79.00
433.0, 0.1010, 79.25
434.0, 0.0995, 79.52
435.0, 0.0983, 79.74
436.0, 0.0972, 79.95
437.0, 0.0962, 80.13
438.0, 0.0946, 80.43
439.0, 0.0939, 80.55
440.0, 0.0925, 80.81
441.0, 0.0919, 80.93
442.0, 0.0907, 81.15
443.0, 0.0899, 81.30
444.0, 0.0889, 81.48
445.0, 0.0882, 81.62
446.0, 0.0865, 81.95
447.0, 0.0860, 82.03
448.0, 0.0854, 82.15
449.0, 0.0844, 82.34
450.0, 0.0846, 82.29
451.0, 0.0831, 82.59
452.0, 0.0824, 82.72
453.0, 0.0811, 82.97
454.0, 0.0805, 83.08
455.0, 0.0808, 83.03
456.0, 0.0802, 83.14
457.0, 0.0791, 83.35
458.0, 0.0786, 83.45
459.0, 0.0781, 83.55
460.0, 0.0779, 83.57
461.0, 0.0775, 83.66
462.0, 0.0765, 83.85
463.0, 0.0763, 83.89
464.0, 0.0760, 83.94
465.0, 0.0758, 83.99
466.0, 0.0752, 84.10
467.0, 0.0745, 84.23
468.0, 0.0731, 84.51
469.0, 0.0729, 84.56
470.0, 0.0738, 84.38
471.0, 0.0735, 84.42
472.0, 0.0724, 84.65
473.0, 0.0719, 84.74
474.0, 0.0712, 84.87
475.0, 0.0711, 84.89
476.0, 0.0705, 85.02
477.0, 0.0700, 85.11
478.0, 0.0702, 85.07
479.0, 0.0696, 85.19
480.0, 0.0689, 85.33
481.0, 0.0683, 85.45
482.0, 0.0677, 85.57
483.0, 0.0679, 85.53
484.0, 0.0675, 85.61
485.0, 0.0666, 85.78
486.0, 0.0670, 85.71
487.0, 0.0658, 85.95
488.0, 0.0654, 86.01
