Sample Name, Sample-9
Time, March 20 12:50:37 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.0718, 84.77
401.0, 0.0712, 84.88
402.0, 0.0700, 85.12
403.0, 0.0689, 85.33
404.0, 0.0679, 85.53
405.0, 0.0667, 85.77
406.0, 0.0654, 86.02
407.0, 0.0642, 86.26
408.0, 0.0627, 86.56
409.0, 0.0621, 86.68
410.0, 0.0607, 86.95
411.0, 0.0596, 87.18
412.0, 0.0584, 87.43
413.0, 0.0571, 87.68
414.0, 0.0558, 87.94
415.0, 0.0546, 88.18
416.0, 0.0533, 88.46
417.0, 0.0523, 88.66
418.0, 0.0510, 88.91
419.0, 0.0495, 89.22
420.0, 0.0485, 89.43
421.0, 0.0475, 89.65
422.0, 0.0463, 89.89
423.0, 0.0453, 90.08
424.0, 0.0440, 90.36
425.0, 0.0433, 90.51
426.0, 0.0418, 90.82
427.0, 0.0412, 90.95
428.0, 0.0403, 91.14
429.0, 0.0393, 91.35
430.0, 0.0382, 91.59
431.0, 0.0374, 91.76
432.0, 0.0363, 91.97
433.0, 0.0355, 92.15
434.0, 0.0348, 92.30
435.0, 0.0338, 92.51
436.0, 0.0329, 92.71
437.0, 0.0324, 92.81
438.0, 0.0315, 93.01
439.0, 0.0310, 93.11
440.0, 0.0303, 93.27
441.0, 0.0295, 93.43
442.0, 0.0289, 93.56
443.0, 0.0280, 93.75
444.0, 0.0282, 93.72
445.0, 0.0274, 93.89
446.0, 0.0261, 94.16
447.0, 0.0262, 94.14
448.0, 0.0258, 94.23
449.0, 0.0248, 94.44
450.0, 0.0250, 94.40
451.0, 0.0232, 94.81
452.0, 0.0232, 94.79
453.0, 0.0226, 94.92
454.0, 0.0223, 94.99
455.0, 0.0221, 95.05
456.0, 0.0216, 95.16
457.0, 0.0208, 95.31
458.0, 0.0212, 95.24
459.0, 0.0204, 95.41
460.0, 0.0202, 95.45
461.0, 0.0199, 95.53
462.0, 0.0193, 95.66
463.0, 0.0191, 95.71
464.0, 0.0188, 95.76
465.0, 0.0191, 95.71
466.0, 0.0177, 96.02
467.0, 0.0173, 96.09
468.0, 0.0164, 96.30
469.0, 0.0165, 96.27
470.0, 0.0174, 96.08
471.0, 0.0169, 96.19
472.0, 0.0163, 96.33
473.0, 0.0157, 96.45
474.0, 0.0154, 96.52
475.0, 0.0154, 96.53
476.0, 0.0153, 96.54
477.0, 0.0144, 96.73
478.0, 0.0144, 96.73
479.0, 0.0139, 96.86
480.0, 0.0133, 96.97
481.0, 0.0129, 97.06
482.0, 0.0131, 97.02
483.0, 0.0124, 97.18
484.0, 0.0125, 97.17
485.0, 0.0118, 97.32
486.0, 0.0122, 97.23
487.0, 0.0111, 97.49
488.0, 0.0109, 97.52
489.0, 0.0107, 97.57
490.0, 0.0103, 97.65
491.0, 0.0098, 97.76
492.0, 0.0096, 97.82
493.0, 0.0092, 97.91
494.0, 0.0090, 97.95
495.0, 0.0082, 98.13
496.0, 0.0081, 98.15
497.0, 0.0072, 98.36
498.0, 0.0071, 98.38
499.0, 0.0068, 98.45
500.0, 0.0065, 98.52
501.0, 0.0064, 98.53
502.0, 0.0056, 98.71
503.0, 0.0050, 98.85
504.0, 0.0052, 98.80
505.0, 0.0043, 99.01
