Sample Name, Sample-11
Time, March 20 12:56:43 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.2616, 54.76
401.0, 0.2599, 54.97
402.0, 0.2569, 55.34
403.0, 0.2537, 55.76
404.0, 0.2513, 56.07
405.0, 0.2486, 56.41
406.0, 0.2452, 56.86
407.0, 0.2424, 57.23
408.0, 0.2392, 57.65
409.0, 0.2365, 58.02
410.0, 0.2336, 58.40
411.0, 0.2308, 58.78
412.0, 0.2280, 59.16
413.0, 0.2247, 59.61
414.0, 0.2218, 60.01
415.0, 0.2189, 60.41
416.0, 0.2162, 60.79
417.0, 0.2133, 61.19
418.0, 0.2105, 61.59
419.0, 0.2073, 62.05
420.0, 0.2055, 62.30
421.0, 0.2025, 62.73
422.0, 0.1998, 63.12
423.0, 0.1977, 63.44
424.0, 0.1951, 63.81
425.0, 0.1927, 64.17
426.0, 0.1904, 64.51
427.0, 0.1882, 64.84
428.0, 0.1857, 65.20
429.0, 0.1837, 65.51
430.0, 0.1816, 65.83
431.0, 0.1798, 66.10
432.0, 0.1782, 66.35
433.0, 0.1762, 66.66
434.0, 0.1741, 66.98
435.0, 0.1727, 67.18
436.0, 0.1709, 67.46
437.0, 0.1693, 67.71
438.0, 0.1673, 68.03
439.0, 0.1663, 68.19
440.0, 0.1650, 68.39
441.0, 0.1635, 68.62
442.0, 0.1622, 68.83
443.0, 0.1606, 69.08
444.0, 0.1599, 69.20
445.0, 0.1588, 69.38
446.0, 0.1573, 69.62
447.0, 0.1563, 69.78
448.0, 0.1558, 69.85
449.0, 0.1544, 70.09
450.0, 0.1538, 70.17
451.0, 0.1517, 70.52
452.0, 0.1517, 70.52
453.0, 0.1502, 70.76
454.0, 0.1496, 70.85
455.0, 0.1489, 70.98
456.0, 0.1485, 71.05
457.0, 0.1469, 71.30
458.0, 0.1467, 71.34
459.0, 0.1460, 71.45
460.0, 0.1455, 71.53
461.0, 0.1447, 71.66
462.0, 0.1440, 71.78
463.0, 0.1436, 71.85
464.0, 0.1430, 71.94
465.0, 0.1429, 71.95
466.0, 0.1420, 72.11
467.0, 0.1415, 72.19
468.0, 0.1397, 72.50
469.0, 0.1401, 72.43
470.0, 0.1402, 72.40
471.0, 0.1399, 72.46
472.0, 0.1394, 72.55
473.0, 0.1383, 72.73
474.0, 0.1379, 72.79
475.0, 0.1371, 72.93
476.0, 0.1369, 72.97
477.0, 0.1364, 73.05
478.0, 0.1363, 73.06
479.0, 0.1358, 73.15
480.0, 0.1350, 73.29
481.0, 0.1342, 73.42
482.0, 0.1336, 73.51
483.0, 0.1332, 73.59
484.0, 0.1335, 73.54
485.0, 0.1335, 73.53
486.0, 0.1325, 73.71
487.0, 0.1310, 73.96
488.0, 0.1309, 73.97
489.0, 0.1306, 74.03
490.0, 0.1305, 74.04
491.0, 0.1293, 74.25
492.0, 0.1290, 74.30
493.0, 0.1288, 74.34
494.0, 0.1279, 74.49
495.0, 0.1276, 74.55
496.0, 0.1273, 74.59
497.0, 0.1263, 74.77
498.0, 0.1255, 74.91
499.0, 0.1250, 74.99
500.0, 0.1253, 74.94
501.0, 0.1243, 75.11
502.0, 0.1239, 75.17
503.0, 0.1232, 75.30
504.0, 0.1232, 75.30
505.0, 0.1219, 75.53
506.0, 0.1213, 75.64
507.0, 0.1210, 75.68
508.0, 0.1206, 75.76
509.0, 0.1199, 75.87
510.0, 0.1188, 76.06
511.0, 0.1188, 76.06
512.0, 0.1188, 76.08
513.0, 0.1178, 76.25
514.0, 0.1173, 76.33
515.0, 0.1165, 76.47
516.0, 0.1163, 76.50
517.0, 0.1158, 76.60
518.0, 0.1152, 76.70
519.0, 0.1143, 76.85
520.0, 0.1140, 76.91
521.0, 0.1138, 76.94
522.0, 0.1132, 77.05
523.0, 0.1126, 77.15
524.0, 0.1123, 77.21
525.0, 0.1119, 77.29
526.0, 0.1115, 77.36
527.0, 0.1113, 77.39
528.0, 0.1108, 77.48
529.0, 0.1100, 77.63
530.0, 0.1099, 77.64
531.0, 0.1093, 77.76
532.0, 0.1095, 77.71
533.0, 0.1089, 77.82
534.0, 0.1082, 77.95
535.0, 0.1080, 77.98
536.0, 0.1078, 78.02
537.0, 0.1075, 78.06
538.0, 0.1071, 78.14
539.0, 0.1071, 78.14
540.0, 0.1068, 78.20
541.0, 0.1066, 78.24
542.0, 0.1067, 78.22
543.0, 0.1059, 78.36
544.0, 0.1063, 78.30
545.0, 0.1060, 78.34
546.0, 0.1056, 78.41
547.0, 0.1057, 78.40
548.0, 0.1059, 78.36
549.0, 0.1053, 78.47
550.0, 0.1054, 78.45
551.0, 0.1054, 78.46
552.0, 0.1055, 78.44
553.0, 0.1051, 78.51
554.0, 0.1054, 78.46
555.0, 0.1053, 78.47
556.0, 0.1054, 78.46
557.0, 0.1051, 78.50
558.0, 0.1053, 78.47
559.0, 0.1052, 78.49
560.0, 0.1054, 78.45
561.0, 0.1055, 78.44
562.0, 0.1060, 78.33
563.0, 0.1060, 78.34
564.0, 0.1061, 78.32
565.0, 0.1059, 78.36
566.0, 0.1065, 78.26
567.0, 0.1063, 78.29
568.0, 0.1064, 78.27
569.0, 0.1066, 78.24
570.0, 0.1066, 78.24
571.0, 0.1068, 78.21
572.0, 0.1072, 78.13
573.0, 0.1076, 78.05
574.0, 0.1076, 78.06
575.0, 0.1083, 77.93
576.0, 0.1090, 77.80
577.0, 0.1089, 77.82
578.0, 0.1091, 77.79
579.0, 0.1091, 77.78
580.0, 0.1098, 77.66
581.0, 0.1096, 77.69
582.0, 0.1100, 77.62
583.0, 0.1108, 77.47
584.0, 0.1110, 77.44
585.0, 0.1113, 77.39
586.0, 0.1122, 77.24
587.0, 0.1120, 77.26
588.0, 0.1128, 77.13
589.0, 0.1129, 77.10
590.0, 0.1138, 76.94
591.0, 0.1140, 76.91
592.0, 0.1142, 76.88
593.0, 0.1146, 76.81
594.0, 0.1151, 76.72
595.0, 0.1154, 76.67
596.0, 0.1163, 76.50
597.0, 0.1161, 76.55
598.0, 0.1172, 76.34
599.0, 0.1166, 76.46
600.0, 0.1178, 76.24
601.0, 0.1178, 76.25
602.0, 0.1185, 76.11
603.0, 0.1187, 76.08
604.0, 0.1196, 75.93
605.0, 0.1198, 75.89
606.0, 0.1204, 75.78
607.0, 0.1206, 75.75
608.0, 0.1204, 75.78
609.0, 0.1214, 75.61
610.0, 0.1227, 75.39
611.0, 0.1228, 75.38
612.0, 0.1232, 75.31
613.0, 0.1237, 75.21
614.0, 0.1236, 75.23
615.0, 0.1244, 75.09
616.0, 0.1255, 74.91
617.0, 0.1258, 74.85
618.0, 0.1259, 74.83
619.0, 0.1261, 74.80
620.0, 0.1271, 74.62
621.0, 0.1276, 74.55
622.0, 0.1277, 74.52
623.0, 0.1280, 74.47
624.0, 0.1288, 74.33
625.0, 0.1295, 74.21
626.0, 0.1297, 74.18
627.0, 0.1297, 74.18
628.0, 0.1312, 73.93
629.0, 0.1306, 74.03
630.0, 0.1312, 73.92
631.0, 0.1319, 73.80
632.0, 0.1321, 73.78
633.0, 0.1325, 73.70
634.0, 0.1333, 73.57
635.0, 0.1336, 73.52
636.0, 0.1335, 73.54
637.0, 0.1340, 73.44
638.0, 0.1345, 73.37
639.0, 0.1353, 73.23
640.0, 0.1347, 73.34
641.0, 0.1355, 73.20
642.0, 0.1365, 73.02
643.0, 0.1369, 72.95
644.0, 0.1368, 72.97
645.0, 0.1372, 72.91
646.0, 0.1377, 72.83
647.0, 0.1378, 72.81
648.0, 0.1380, 72.78
649.0, 0.1389, 72.62
650.0, 0.1390, 72.62
651.0, 0.1390, 72.61
652.0, 0.1402, 72.41
653.0, 0.1395, 72.52
654.0, 0.1403, 72.40
655.0, 0.1404, 72.38
656.0, 0.1406, 72.34
657.0, 0.1416, 72.18
658.0, 0.1416, 72.17
659.0, 0.1419, 72.13
660.0, 0.1421, 72.09
661.0, 0.1422, 72.08
662.0, 0.1431, 71.93
663.0, 0.1424, 72.05
664.0, 0.1429, 71.96
665.0, 0.1438, 71.82
666.0, 0.1438, 71.82
667.0, 0.1437, 71.82
668.0, 0.1436, 71.85
669.0, 0.1444, 71.72
670.0, 0.1447, 71.67
671.0, 0.1445, 71.69
672.0, 0.1451, 71.60
673.0, 0.1458, 71.48
674.0, 0.1456, 71.52
675.0, 0.1451, 71.59
676.0, 0.1460, 71.45
677.0, 0.1466, 71.35
678.0, 0.1465, 71.37
679.0, 0.1465, 71.36
680.0, 0.1467, 71.33
681.0, 0.1471, 71.26
682.0, 0.1471, 71.27
683.0, 0.1470, 71.28
684.0, 0.1479, 71.14
685.0, 0.1474, 71.22
686.0, 0.1482, 71.09
687.0, 0.1483, 71.07
688.0, 0.1486, 71.02
689.0, 0.1486, 71.02
690.0, 0.1493, 70.90
691.0, 0.1492, 70.93
692.0, 0.1486, 71.02
693.0, 0.1494, 70.89
694.0, 0.1497, 70.85
695.0, 0.1492, 70.92
696.0, 0.1492, 70.92
697.0, 0.1494, 70.89
698.0, 0.1499, 70.81
699.0, 0.1499, 70.81
700.0, 0.1497, 70.84
701.0, 0.1502, 70.76
702.0, 0.1504, 70.73
703.0, 0.1504, 70.72
704.0, 0.1505, 70.72
705.0, 0.1509, 70.66
706.0, 0.1508, 70.66
707.0, 0.1510, 70.63
708.0, 0.1518, 70.50
709.0, 0.1520, 70.47
710.0, 0.1517, 70.52
711.0, 0.1510, 70.63
712.0, 0.1512, 70.61
713.0, 0.1507, 70.67
714.0, 0.1508, 70.66
715.0, 0.1511, 70.62
716.0, 0.1512, 70.59
717.0, 0.1512, 70.59
718.0, 0.1511, 70.61
719.0, 0.1513, 70.59
720.0, 0.1515, 70.55
721.0, 0.1513, 70.58
722.0, 0.1512, 70.60
723.0, 0.1514, 70.57
724.0, 0.1510, 70.63
725.0, 0.1513, 70.58
726.0, 0.1514, 70.56
727.0, 0.1514, 70.57
728.0, 0.1511, 70.62
729.0, 0.1513, 70.58
730.0, 0.1512, 70.60
731.0, 0.1510, 70.64
732.0, 0.1511, 70.61
733.0, 0.1510, 70.63
734.0, 0.1509, 70.65
735.0, 0.1508, 70.66
736.0, 0.1505, 70.71
737.0, 0.1509, 70.64
738.0, 0.1508, 70.66
739.0, 0.1505, 70.71
740.0, 0.1502, 70.75
741.0, 0.1499, 70.80
742.0, 0.1498, 70.83
743.0, 0.1496, 70.86
744.0, 0.1503, 70.75
745.0, 0.1497, 70.85
746.0, 0.1498, 70.83
747.0, 0.1493, 70.91
748.0, 0.1493, 70.90
749.0, 0.1492, 70.93
750.0, 0.1492, 70.92
751.0, 0.1493, 70.90
752.0, 0.1487, 71.00
753.0, 0.1490, 70.96
754.0, 0.1491, 70.95
755.0, 0.1483, 71.07
