Sample Name, Sample-3
Time, March 20 12:29:41 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.1143, 76.86
401.0, 0.1133, 77.03
402.0, 0.1125, 77.19
403.0, 0.1114, 77.38
404.0, 0.1103, 77.57
405.0, 0.1096, 77.69
406.0, 0.1089, 77.83
407.0, 0.1078, 78.02
408.0, 0.1071, 78.15
409.0, 0.1065, 78.25
410.0, 0.1056, 78.41
411.0, 0.1046, 78.60
412.0, 0.1044, 78.64
413.0, 0.1031, 78.87
414.0, 0.1024, 78.99
415.0, 0.1014, 79.17
416.0, 0.1015, 79.16
417.0, 0.1001, 79.42
418.0, 0.0995, 79.52
419.0, 0.0987, 79.68
420.0, 0.0983, 79.74
421.0, 0.0980, 79.81
422.0, 0.0973, 79.94
423.0, 0.0967, 80.04
424.0, 0.0959, 80.18
425.0, 0.0953, 80.30
426.0, 0.0948, 80.40
427.0, 0.0944, 80.47
428.0, 0.0940, 80.53
429.0, 0.0938, 80.58
430.0, 0.0933, 80.66
431.0, 0.0931, 80.71
432.0, 0.0925, 80.81
433.0, 0.0921, 80.89
434.0, 0.0916, 80.98
435.0, 0.0915, 81.00
436.0, 0.0911, 81.07
437.0, 0.0911, 81.08
438.0, 0.0906, 81.18
439.0, 0.0905, 81.20
440.0, 0.0908, 81.13
441.0, 0.0900, 81.29
442.0, 0.0895, 81.37
443.0, 0.0899, 81.29
444.0, 0.0896, 81.35
445.0, 0.0899, 81.31
446.0, 0.0895, 81.38
447.0, 0.0892, 81.43
448.0, 0.0899, 81.30
449.0, 0.0895, 81.39
450.0, 0.0894, 81.40
451.0, 0.0892, 81.42
452.0, 0.0898, 81.33
453.0, 0.0892, 81.43
454.0, 0.0892, 81.43
455.0, 0.0898, 81.33
456.0, 0.0896, 81.36
457.0, 0.0893, 81.42
458.0, 0.0897, 81.34
459.0, 0.0898, 81.33
460.0, 0.0899, 81.31
461.0, 0.0895, 81.38
462.0, 0.0899, 81.30
463.0, 0.0898, 81.33
464.0, 0.0901, 81.26
465.0, 0.0907, 81.15
466.0, 0.0902, 81.24
467.0, 0.0903, 81.22
468.0, 0.0901, 81.26
469.0, 0.0903, 81.22
470.0, 0.0921, 80.89
