Sample Name, Sample-4
Time, March 20 12:33:20 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.2528, 55.87
401.0, 0.2511, 56.09
402.0, 0.2492, 56.33
403.0, 0.2472, 56.60
404.0, 0.2451, 56.87
405.0, 0.2442, 56.99
406.0, 0.2414, 57.36
407.0, 0.2397, 57.58
408.0, 0.2385, 57.74
409.0, 0.2369, 57.95
410.0, 0.2346, 58.27
411.0, 0.2335, 58.41
412.0, 0.2315, 58.68
413.0, 0.2297, 58.93
414.0, 0.2281, 59.15
415.0, 0.2259, 59.44
416.0, 0.2253, 59.52
417.0, 0.2236, 59.76
418.0, 0.2218, 60.00
419.0, 0.2204, 60.20
420.0, 0.2196, 60.31
421.0, 0.2182, 60.51
422.0, 0.2169, 60.69
423.0, 0.2157, 60.85
424.0, 0.2146, 61.01
425.0, 0.2133, 61.19
426.0, 0.2119, 61.39
427.0, 0.2113, 61.47
428.0, 0.2106, 61.58
429.0, 0.2097, 61.70
430.0, 0.2087, 61.84
431.0, 0.2078, 61.98
432.0, 0.2070, 62.08
433.0, 0.2058, 62.25
434.0, 0.2050, 62.37
435.0, 0.2048, 62.41
436.0, 0.2044, 62.46
437.0, 0.2039, 62.53
438.0, 0.2025, 62.74
439.0, 0.2027, 62.71
440.0, 0.2025, 62.73
441.0, 0.2015, 62.87
442.0, 0.2015, 62.87
443.0, 0.2010, 62.94
444.0, 0.2005, 63.02
445.0, 0.2014, 62.89
446.0, 0.2002, 63.07
447.0, 0.2000, 63.09
448.0, 0.2006, 63.01
449.0, 0.1997, 63.14
450.0, 0.2000, 63.10
451.0, 0.1996, 63.15
452.0, 0.2002, 63.06
453.0, 0.1993, 63.20
454.0, 0.1995, 63.18
455.0, 0.2005, 63.02
456.0, 0.2000, 63.10
457.0, 0.1998, 63.12
458.0, 0.2006, 63.01
459.0, 0.2002, 63.06
460.0, 0.2009, 62.97
461.0, 0.2007, 62.99
462.0, 0.2011, 62.94
463.0, 0.2013, 62.90
464.0, 0.2016, 62.87
465.0, 0.2019, 62.82
466.0, 0.2015, 62.88
467.0, 0.2023, 62.76
468.0, 0.2020, 62.81
469.0, 0.2016, 62.86
470.0, 0.2037, 62.55
471.0, 0.2037, 62.56
472.0, 0.2039, 62.53
473.0, 0.2039, 62.53
474.0, 0.2042, 62.49
475.0, 0.2050, 62.37
476.0, 0.2052, 62.34
477.0, 0.2055, 62.30
478.0, 0.2055, 62.29
479.0, 0.2061, 62.21
480.0, 0.2060, 62.23
481.0, 0.2069, 62.10
482.0, 0.2075, 62.02
483.0, 0.2083, 61.90
484.0, 0.2086, 61.85
485.0, 0.2090, 61.80
486.0, 0.2095, 61.74
487.0, 0.2095, 61.73
488.0, 0.2100, 61.66
489.0, 0.2103, 61.61
490.0, 0.2109, 61.53
491.0, 0.2111, 61.50
492.0, 0.2118, 61.40
493.0, 0.2123, 61.33
494.0, 0.2127, 61.28
495.0, 0.2129, 61.25
496.0, 0.2133, 61.19
497.0, 0.2139, 61.11
498.0, 0.2146, 61.00
499.0, 0.2149, 60.97
500.0, 0.2157, 60.86
501.0, 0.2161, 60.81
502.0, 0.2166, 60.74
503.0, 0.2166, 60.73
504.0, 0.2174, 60.62
505.0, 0.2178, 60.56
506.0, 0.2179, 60.55
507.0, 0.2188, 60.42
508.0, 0.2192, 60.37
509.0, 0.2196, 60.31
510.0, 0.2205, 60.19
511.0, 0.2212, 60.10
512.0, 0.2216, 60.04
513.0, 0.2224, 59.93
514.0, 0.2230, 59.83
515.0, 0.2235, 59.77
516.0, 0.2236, 59.76
517.0, 0.2244, 59.65
518.0, 0.2251, 59.55
519.0, 0.2253, 59.52
520.0, 0.2261, 59.42
521.0, 0.2272, 59.27
522.0, 0.2277, 59.19
523.0, 0.2283, 59.11
524.0, 0.2291, 59.01
525.0, 0.2296, 58.95
526.0, 0.2303, 58.85
527.0, 0.2308, 58.77
528.0, 0.2320, 58.61
529.0, 0.2326, 58.53
530.0, 0.2333, 58.44
531.0, 0.2344, 58.29
532.0, 0.2351, 58.19
533.0, 0.2356, 58.13
534.0, 0.2366, 58.00
535.0, 0.2371, 57.93
536.0, 0.2383, 57.77
537.0, 0.2387, 57.71
538.0, 0.2398, 57.57
539.0, 0.2407, 57.45
540.0, 0.2416, 57.33
541.0, 0.2426, 57.19
542.0, 0.2441, 57.01
543.0, 0.2448, 56.91
544.0, 0.2458, 56.78
545.0, 0.2468, 56.65
546.0, 0.2476, 56.54
547.0, 0.2481, 56.48
