Sample Name, Sample-7
Time, March 20 12:44:52 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, -0.0832, 121.13
401.0, -0.0824, 120.88
402.0, -0.0822, 120.83
403.0, -0.0821, 120.81
404.0, -0.0813, 120.58
405.0, -0.0807, 120.41
406.0, -0.0802, 120.28
407.0, -0.0802, 120.27
408.0, -0.0796, 120.10
409.0, -0.0790, 119.94
410.0, -0.0784, 119.80
411.0, -0.0781, 119.71
412.0, -0.0774, 119.51
413.0, -0.0773, 119.49
414.0, -0.0765, 119.27
415.0, -0.0764, 119.23
416.0, -0.0759, 119.09
417.0, -0.0755, 118.99
418.0, -0.0750, 118.85
419.0, -0.0753, 118.92
420.0, -0.0744, 118.69
421.0, -0.0739, 118.55
422.0, -0.0735, 118.43
423.0, -0.0731, 118.32
424.0, -0.0731, 118.32
425.0, -0.0727, 118.22
426.0, -0.0725, 118.17
427.0, -0.0718, 117.99
428.0, -0.0716, 117.91
429.0, -0.0712, 117.81
430.0, -0.0711, 117.78
431.0, -0.0710, 117.75
432.0, -0.0709, 117.75
433.0, -0.0706, 117.65
434.0, -0.0704, 117.60
435.0, -0.0702, 117.54
436.0, -0.0702, 117.55
437.0, -0.0697, 117.40
438.0, -0.0698, 117.45
439.0, -0.0694, 117.34
440.0, -0.0695, 117.36
441.0, -0.0691, 117.25
442.0, -0.0690, 117.23
443.0, -0.0691, 117.24
444.0, -0.0687, 117.15
445.0, -0.0684, 117.05
446.0, -0.0688, 117.17
447.0, -0.0685, 117.09
448.0, -0.0680, 116.94
449.0, -0.0682, 117.02
450.0, -0.0680, 116.94
451.0, -0.0687, 117.14
452.0, -0.0682, 117.01
453.0, -0.0683, 117.02
454.0, -0.0685, 117.10
455.0, -0.0679, 116.94
456.0, -0.0678, 116.90
457.0, -0.0684, 117.05
458.0, -0.0678, 116.89
459.0, -0.0684, 117.05
460.0, -0.0679, 116.93
461.0, -0.0678, 116.89
462.0, -0.0682, 117.00
463.0, -0.0679, 116.91
464.0, -0.0681, 116.98
465.0, -0.0672, 116.74
466.0, -0.0679, 116.93
467.0, -0.0677, 116.86
468.0, -0.0690, 117.21
469.0, -0.0682, 116.99
470.0, -0.0673, 116.76
471.0, -0.0677, 116.88
472.0, -0.0680, 116.94
473.0, -0.0683, 117.03
474.0, -0.0682, 117.01
475.0, -0.0684, 117.05
476.0, -0.0681, 116.98
477.0, -0.0680, 116.94
478.0, -0.0681, 116.97
479.0, -0.0682, 117.01
480.0, -0.0685, 117.09
481.0, -0.0684, 117.05
482.0, -0.0683, 117.02
483.0, -0.0681, 116.99
